season,week,home_team,away_team,total_line,tot,h_keyrec,a_keyrec,h_def,a_def,off_trigger,def_trigger,over_play,over
2018,12,LAC,ARI,43.5,55.0,0.0,0.0,0.0,0.48349206349206353,0,0,0,1.0
2018,12,CIN,CLE,46.5,55.0,0.0,0.0,0.9400000000000001,0.0,0,0,0,1.0
2018,12,MIN,GB,48.5,41.0,0.0,0.0,1.26,1.2543849206349207,0,1,1,0.0
2018,12,BUF,JAX,36.5,45.0,0.0,0.0,0.0,0.13416666666666666,0,0,0,1.0
2018,12,IND,MIA,52.5,51.0,0.0,1.0,0.0,0.0,1,0,1,0.0
2018,12,NYJ,NE,46.5,40.0,0.0,0.0,0.924,0.0,0,0,0,0.0
2018,12,PHI,NYG,49.0,47.0,0.0,0.0,3.123809523809524,0.4511111111111111,0,1,1,0.0
2018,12,BAL,OAK,42.0,51.0,0.0,0.0,0.0,0.0,0,0,0,1.0
2018,12,DEN,PIT,47.5,41.0,0.0,0.0,0.810952380952381,0.7637499999999999,0,0,0,0.0
2018,12,CAR,SEA,46.5,57.0,1.0,0.0,0.0,0.855,1,0,1,1.0
2018,12,TB,SF,54.5,36.0,0.0,0.0,2.61125,0.0,0,1,1,0.0
2018,12,HOU,TEN,42.5,51.0,0.0,0.0,0.0,0.05625,0,0,0,1.0
2018,13,DAL,NO,51.5,23.0,0.0,0.0,1.1175,0.0,0,0,0,0.0
2018,13,GB,ARI,41.0,37.0,0.0,0.0,1.5261904761904763,0.3377777777777778,0,0,0,0.0
2018,13,ATL,BAL,46.5,42.0,0.0,0.0,0.0,0.994,0,0,0,0.0
2018,13,MIA,BUF,40.0,38.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2018,13,TB,CAR,52.0,41.0,0.0,0.0,1.56,0.0,0,0,0,0.0
2018,13,NYG,CHI,44.0,57.0,0.0,0.0,0.45999999999999996,0.093,0,0,0,1.0
2018,13,HOU,CLE,47.5,42.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2018,13,CIN,DEN,45.0,34.0,0.0,0.0,0.11300000000000002,0.7777499999999999,0,0,0,0.0
2018,13,JAX,IND,45.5,6.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2018,13,OAK,KC,53.5,73.0,0.0,0.0,0.6311111111111111,0.0,0,0,0,1.0
2018,13,PIT,LAC,53.5,63.0,0.0,0.0,0.5233333333333333,0.4933333333333333,0,0,0,1.0
2018,13,DET,LA,54.0,46.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2018,13,NE,MIN,50.0,34.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2018,13,TEN,NYJ,40.5,48.0,0.0,0.0,0.05625,0.924,0,0,0,1.0
2018,13,SEA,SF,45.5,59.0,0.0,1.0,0.8635714285714285,0.266,1,0,1,1.0
2018,13,PHI,WAS,45.0,41.0,0.0,0.0,2.5604761904761904,0.0,0,1,1,0.0
2018,14,TEN,JAX,36.5,39.0,0.0,0.0,0.05625,0.5236363636363636,0,0,0,1.0
2018,14,GB,ATL,51.0,54.0,0.0,0.0,0.06285714285714286,0.0,0,0,0,1.0
2018,14,KC,BAL,49.0,51.0,0.0,0.0,0.0,0.994,0,0,0,1.0
