coach,n_big_drives,tempo_big,tempo_neutral,tempo_delta,pass_big,pass_neutral,pass_delta,starter_share_q4,n_q4_dropbacks,pts_drive_big,expansion_med,n_big_games,go4_rate,n_go4,hammer
Jimbo Fisher,24.0,27.814285714285713,26.88888888888889,0.9253968253968239,0.5192307692307693,0.49572649572649574,0.023504273504273532,0.42857142857142855,42.0,2.8333333333333335,13.0,5.0,0.0,1.0,0.2918321674620115
Josh Heupel,33.0,20.5,17.133333333333333,3.366666666666667,0.32786885245901637,0.5094339622641509,-0.18156510980513457,0.13157894736842105,38.0,3.6363636363636362,35.0,7.0,0.45454545454545453,11.0,0.28876667016739466
Mike Bloomgren,15.0,29.666666666666668,25.25,4.416666666666668,0.27586206896551724,0.48148148148148145,-0.20561941251596422,,2.0,3.8,31.0,3.0,0.4,5.0,0.2834856595932692
Jason Candle,28.0,25.0,22.541666666666664,2.4583333333333357,0.3333333333333333,0.44086021505376344,-0.10752688172043012,0.3,20.0,3.7142857142857144,21.0,6.0,0.6666666666666666,6.0,0.2780001689203154
Ryan Silverfield,24.0,30.357142857142858,25.076923076923077,5.280219780219781,0.3838383838383838,0.448,-0.0641616161616162,0.8888888888888888,18.0,2.9166666666666665,13.0,5.0,0.4,10.0,0.2740176831573515
Jim McElwain,13.0,22.743055555555557,23.833333333333332,-1.090277777777775,0.2222222222222222,0.39215686274509803,-0.16993464052287582,,6.0,3.3846153846153846,20.0,3.0,0.5,2.0,0.25713447042397586
Scott Satterfield,12.0,28.425,24.7,3.7250000000000014,0.23404255319148937,0.43820224719101125,-0.20415969399952189,,8.0,3.4166666666666665,32.0,3.0,0.5,4.0,0.24434397983295325
P.J. Fleck,20.0,32.875,30.23076923076923,2.64423076923077,0.2719298245614035,0.36507936507936506,-0.09314954051796154,0.0,16.0,4.15,24.0,5.0,0.75,4.0,0.24422431614553436
Nick Saban,27.0,28.5,27.083333333333336,1.4166666666666643,0.38392857142857145,0.5083798882681564,-0.12445131683958494,0.23529411764705882,17.0,3.6296296296296298,21.0,5.0,0.3333333333333333,3.0,0.22784955633034473
Bret Bielema,12.0,32.111111111111114,28.75,3.3611111111111143,0.2857142857142857,0.4583333333333333,-0.17261904761904762,0.625,16.0,3.5,17.5,4.0,0.2,5.0,0.21711978670340093
Lincoln Riley,27.0,29.25,24.77777777777778,4.472222222222221,0.4957983193277311,0.48295454545454547,0.012843773873185638,0.029411764705882353,34.0,4.074074074074074,18.0,7.0,0.5,8.0,0.20436229469758213
Jeff Brohm,27.0,27.714285714285715,27.8,-0.08571428571428541,0.33587786259541985,0.5,-0.16412213740458015,0.0,22.0,2.814814814814815,35.0,5.0,0.8888888888888888,9.0,0.19580373657487898
Terry Smith,12.0,24.035714285714285,24.7,-0.6642857142857146,0.41509433962264153,0.45098039215686275,-0.035886052534221224,0.15384615384615385,13.0,3.5833333333333335,11.0,3.0,1.0,3.0,0.18049285207452667
Mike Norvell,16.0,29.4,24.208333333333336,5.191666666666663,0.2318840579710145,0.42857142857142855,-0.19668737060041405,,9.0,4.375,22.5,4.0,0.6666666666666666,3.0,0.16311438005529266
