coach,n_big_drives,tempo_big,tempo_neutral,tempo_delta,pass_big,pass_neutral,pass_delta,starter_share_q4,n_q4_dropbacks,pts_drive_big,expansion_med,n_big_games,go4_rate,n_go4,hammer
Ryan Silverfield,48.0,31.56666666666667,25.5,6.06666666666667,0.3217821782178218,0.5059055118110236,-0.18412333359320182,0.8620689655172413,29.0,3.0416666666666665,7.0,15.0,0.4782608695652174,23.0,0.14398121254462543
Dave Aranda,46.0,26.0,25.8,0.1999999999999993,0.29743589743589743,0.4799426934097421,-0.18250679597384467,0.5227272727272727,44.0,3.0434782608695654,5.0,14.0,0.8666666666666667,15.0,0.14195012105628457
Dana Holgorsen,31.0,31.333333333333332,27.307692307692307,4.0256410256410255,0.38596491228070173,0.5398428731762065,-0.15387796089550476,0.6097560975609756,41.0,2.6774193548387095,10.0,8.0,0.4444444444444444,9.0,0.12287214682393888
Matt Campbell,41.0,32.142857142857146,27.5,4.642857142857146,0.31547619047619047,0.4459016393442623,-0.13042544886807184,0.3902439024390244,41.0,3.3658536585365852,9.0,11.0,0.25,16.0,0.12114157510181203
Eli Drinkwitz,58.0,29.666666666666668,27.77777777777778,1.8888888888888893,0.30196078431372547,0.41104734576757535,-0.10908656145384987,0.21951219512195122,41.0,3.1551724137931036,8.5,16.0,0.5263157894736842,19.0,0.10490497425296688
Shawn Clark,41.0,29.285714285714285,26.0,3.2857142857142847,0.3212121212121212,0.43682008368200836,-0.11560796246988714,0.6111111111111112,36.0,2.5853658536585367,7.0,13.0,0.5833333333333334,12.0,0.10437060835158496
Jon Sumrall,52.0,32.041666666666664,27.75,4.291666666666664,0.3183856502242152,0.44207066557107644,-0.12368501534686122,0.56,25.0,2.9615384615384617,7.0,16.0,0.5333333333333333,15.0,0.09432151109003237
Kalen DeBoer,89.0,28.854166666666664,26.944444444444443,1.9097222222222214,0.3956043956043956,0.534423994546694,-0.1388195989422984,0.3238095238095238,105.0,3.191011235955056,7.0,23.0,0.7894736842105263,19.0,0.07247023998325597
Kirby Smart,130.0,30.477272727272727,28.194444444444443,2.2828282828282838,0.3663194444444444,0.47093023255813954,-0.10461078811369512,0.23275862068965517,116.0,3.0153846153846153,8.5,36.0,0.53125,32.0,0.046799833823272595
Steve Sarkisian,92.0,27.61904761904762,25.266666666666666,2.3523809523809547,0.3012658227848101,0.4869375907111756,-0.18567176792636547,0.421875,64.0,2.891304347826087,10.0,26.0,0.7368421052631579,19.0,0.04544634692441912
Barry Odom,41.0,27.25,25.229166666666664,2.0208333333333357,0.2710843373493976,0.4146341463414634,-0.14354980899206582,0.5652173913043478,23.0,3.3658536585365852,0.0,12.0,0.4444444444444444,9.0,0.031890228663775624
Jonathan Smith,49.0,30.5,29.75,0.75,0.37083333333333335,0.40585443037974683,-0.035021097046413485,0.39215686274509803,51.0,2.673469387755102,1.0,15.0,0.4117647058823529,17.0,0.02782405759071325
Rich Rodriguez,42.0,29.84285714285714,21.65714285714286,8.185714285714283,0.14689265536723164,0.28345498783454987,-0.13656233246731822,,9.0,3.0476190476190474,14.0,10.0,0.7272727272727273,11.0,-0.01149971442509512
Jeff Tedford,33.0,31.0,26.857142857142858,4.142857142857142,0.33766233766233766,0.5425330812854442,-0.20487074362310653,0.875,16.0,2.3333333333333335,7.0,8.0,0.6666666666666666,6.0,-0.02440261187221259
Michael Desormeaux,30.0,30.5,27.265384615384615,3.2346153846153847,0.3783783783783784,0.4299732381801962,-0.05159485980181783,0.25,40.0,3.2,3.0,11.0,0.3333333333333333,6.0,-0.061746594400269125
Jake Dickert,59.0,29.0,25.88888888888889,3.1111111111111107,0.411214953271028,0.5900621118012422,-0.1788471585302142,0.6,35.0,2.5254237288135593,7.5,14.0,0.6923076923076923,13.0,-0.06836883173478123
Scott Satterfield,37.0,30.0,26.8,3.1999999999999993,0.3,0.39642324888226527,-0.09642324888226528,0.15625,32.0,2.810810810810811,10.0,12.0,0.4,10.0,-0.08916212692933907
James Franklin,88.0,29.375,26.333333333333332,3.041666666666668,0.35561497326203206,0.45718774548311075,-0.10157277222107869,0.2391304347826087,92.0,2.9545454545454546,7.0,23.0,0.6129032258064516,31.0,-0.09469546399329248
Shane Beamer,50.0,30.45,27.625,2.8249999999999993,0.32710280373831774,0.44140625,-0.11430344626168226,0.48148148148148145,54.0,2.9,2.0,17.0,0.75,12.0,-0.12094429695016413
Brian Newberry,31.0,32.857142857142854,30.645833333333336,2.2113095238095184,0.13043478260869565,0.16833095577746077,-0.03789617316876512,,8.0,2.4193548387096775,2.0,8.0,0.5,18.0,-0.1330493566884079
G.J. Kinne,40.0,26.366666666666667,24.142857142857142,2.223809523809525,0.23728813559322035,0.42407199100112486,-0.18678385540790451,0.7333333333333333,15.0,2.8,0.0,13.0,0.42857142857142855,7.0,-0.1424901072020473
Alex Golesh,58.0,23.27922077922078,19.834615384615383,3.4446053946053965,0.27884615384615385,0.44146341463414634,-0.1626172607879925,0.4482758620689655,29.0,2.5517241379310347,8.5,14.0,0.5,12.0,-0.15273699346881417
Chris Klieman,51.0,31.528846153846153,27.2,4.328846153846154,0.3269230769230769,0.42179759377211606,-0.09487451684903914,0.4909090909090909,55.0,2.392156862745098,6.0,17.0,0.3076923076923077,26.0,-0.17271173945122
Hugh Freeze,56.0,28.666666666666668,26.333333333333332,2.3333333333333357,0.3160377358490566,0.4420975965040058,-0.12605986065494923,0.2391304347826087,46.0,2.5535714285714284,8.5,16.0,0.5,10.0,-0.1887889990629467
Charles Huff,63.0,25.13095238095238,23.65714285714286,1.4738095238095212,0.3729508196721312,0.460406447091801,-0.08745562741966983,0.2,40.0,2.380952380952381,7.0,16.0,0.38461538461538464,13.0,-0.19762633426083592
Willie Fritz,45.0,27.5,27.666666666666668,-0.16666666666666785,0.3333333333333333,0.4061032863849765,-0.07276995305164319,0.3,30.0,2.1555555555555554,3.0,13.0,0.6666666666666666,15.0,-0.20662192198402085
P.J. Fleck,42.0,35.0,30.5,4.5,0.20642201834862386,0.40694444444444444,-0.20052242609582058,0.3333333333333333,24.0,3.357142857142857,7.0,14.0,0.36363636363636365,11.0,-0.2261782054739216
Lance Leipold,43.0,31.5,30.0,1.5,0.17964071856287425,0.40109460516028145,-0.2214538865974072,0.3333333333333333,12.0,2.86046511627907,7.0,13.0,0.625,16.0,-0.24324388056719165
Rhett Lashlee,78.0,28.479166666666664,21.895833333333336,6.583333333333329,0.3404255319148936,0.4749316317228806,-0.134506099807987,0.5416666666666666,72.0,2.6666666666666665,7.0,23.0,0.7058823529411765,17.0,-0.24806755241963074
Mike Bloomgren,25.0,30.5,29.0,1.5,0.2708333333333333,0.4703668861712135,-0.1995335528378802,,8.0,2.56,7.0,7.0,0.375,8.0,-0.24866589460781585
Kyle Whittingham,76.0,33.9375,27.4,6.537500000000001,0.22188449848024316,0.4103641456582633,-0.18847964717802013,0.59375,32.0,2.8947368421052633,7.0,24.0,0.64,25.0,-0.25027198329079914
Jeff Brohm,64.0,31.625,27.0,4.625,0.30685920577617326,0.5365551425030979,-0.22969593672692462,0.40425531914893614,47.0,2.5625,13.0,15.0,0.47619047619047616,21.0,-0.25184073717351646
Eric Morris,37.0,31.0,22.25,8.75,0.4049079754601227,0.5566625155666252,-0.15175454010650247,0.3333333333333333,15.0,3.72972972972973,7.5,12.0,0.3333333333333333,9.0,-0.2523206774697131
Jason Candle,93.0,29.0,24.0,5.0,0.30357142857142855,0.4272266473569877,-0.12365521878555913,0.2777777777777778,54.0,2.89247311827957,7.0,22.0,0.4375,16.0,-0.2910160651523551
Jamey Chadwell,47.0,32.333333333333336,28.666666666666668,3.666666666666668,0.2653061224489796,0.34210526315789475,-0.07679914070891514,0.34285714285714286,35.0,2.595744680851064,3.0,13.0,0.5294117647058824,17.0,-0.2996262560161506
Brent Brennan,51.0,30.8125,27.42222222222222,3.3902777777777793,0.29347826086956524,0.5225362872421696,-0.22905802637260436,0.6578947368421053,38.0,1.9607843137254901,8.0,14.0,0.5454545454545454,11.0,-0.3614366309598185
Chip Kelly,40.0,28.45,23.75,4.699999999999999,0.2732919254658385,0.4032258064516129,-0.12993388098577435,0.3548387096774194,31.0,2.425,7.0,11.0,0.5714285714285714,7.0,-0.38329296737385965
Spencer Danielson,34.0,30.0,27.2,2.8000000000000007,0.2922077922077922,0.4,-0.10779220779220783,0.32142857142857145,28.0,2.8529411764705883,0.0,11.0,0.6,15.0,-0.39015010586402976
Dave Clawson,39.0,30.833333333333332,21.8,9.033333333333331,0.33707865168539325,0.4786885245901639,-0.14160987290477067,0.6388888888888888,36.0,2.5384615384615383,7.0,11.0,0.45454545454545453,11.0,-0.40361035947219215
Kane Wommack,40.0,29.17857142857143,26.0,3.1785714285714306,0.3463687150837989,0.45699614890885754,-0.11062743382505863,0.32653061224489793,49.0,2.5,3.0,11.0,0.8,10.0,-0.4103624520282468
Sean Lewis,30.0,34.5625,22.142857142857142,12.419642857142858,0.23943661971830985,0.3968105065666041,-0.15737388684829426,0.5714285714285714,14.0,3.1,10.0,11.0,0.46153846153846156,13.0,-0.4177693867464183
Dave Doeren,49.0,31.0,28.833333333333332,2.166666666666668,0.35121951219512193,0.47888283378746593,-0.127663321592344,0.3953488372093023,43.0,1.8571428571428572,5.0,12.0,0.5,10.0,-0.45504141979426127
