feature,n,pearson,spearman,q1_mean,q4_mean,q4_minus_q1
off_rz_td_rate_s2d,3428,-0.07136917523079747,-0.06611376288398638,0.4458818744686321,-1.3807647539451922,-1.8266466284138243
off_explosive_pass_rate_s2d,3428,-0.06749948580933124,-0.05571695555240061,0.7276551981897418,-1.1871954051979412,-1.9148506033876829
off_early_down_rush_epa_s2d,3428,-0.06707468340767407,-0.06025209592992722,0.16694964650975258,-1.1291456758580083,-1.296095322367761
off_explosive_pass_s2d,3428,-0.06704106127496896,-0.05564268514555024,0.7276551981897418,-1.1871954051979412,-1.9148506033876829
off_plays_per_game_s2d,3428,-0.06659785529218372,-0.05193452143765298,0.30352750380756865,-1.097664993899112,-1.4011924977066808
off_ed_pass_epa_s2d,3428,-0.066557709646273,-0.05564764385845063,0.2935529261396008,-1.3507768251106667,-1.6443297512502675
off_early_down_pass_epa_s2d,3428,-0.06640941600918963,-0.0556101174482681,0.2935529261396008,-1.3507768251106667,-1.6443297512502675
off_ed_rush_epa_s2d,3428,-0.06540037661809701,-0.05995991344675898,0.16694964650975258,-1.1291456758580083,-1.296095322367761
off_passer_rating_s2d,3428,-0.06012458993225748,-0.04216846624499367,0.3849823318784993,-1.3581003898596047,-1.743082721738104
off_pa_epa_s2d,1764,-0.05915774862885465,-0.04382438449274499,0.6779568639162475,-0.6379463782775108,-1.3159032421937584
off_explosive_rush_s2d,3428,-0.05819053082194688,-0.059940733092962356,0.46839572645939626,-1.145696394989866,-1.6140921214492623
off_explosive_rush_rate_s2d,3428,-0.057901126355925814,-0.05990734863964366,0.46839572645939626,-1.145696394989866,-1.6140921214492623
off_rush_success_rate_s2d,3428,-0.05536788229761202,-0.05096414944178911,0.391461180804361,-1.0420416556544638,-1.4335028364588247
off_rush_sr_s2d,3428,-0.05304241340961523,-0.05018203730878587,0.391461180804361,-1.002914764135507,-1.3943759449398678
DELTA_off_off_pass_success_rate,3428,-0.053010933637090085,-0.03357335946700293,0.2721083251054061,-0.8312785703979514,-1.1033868955033574
