season,week,home_ab,away_ab,open_spread,pred_margin,actual_margin,side,tier,p_cal,label,model_agrees,teased_line,win,push
2024,9,PHI,JAX,-6.5,4.28259584891612,5,HOME,2,0.749,HOME -7/-6 fav -> -1/-0 (through 3),False,-0.5,1.0,False
2024,9,SEA,LAR,-3.0,-3.4369651035973643,-6,AWAY,2,0.749,AWAY +3/+3.5 dog -> +9/+9.5 (through 3+7),True,-9.0,1.0,False
2024,9,TEN,NE,-3.0,5.529733807348535,3,AWAY,2,0.749,AWAY +3/+3.5 dog -> +9/+9.5 (through 3+7),False,-9.0,1.0,False
2024,10,ARI,NYJ,-1.0,-1.6036742577969738,25,HOME,2,0.733,HOME pickem -> +5/+7 (through 3),False,5.0,1.0,False
2024,10,CAR,NYG,5.0,-1.437562743619189,3,HOME,1,0.833,HOME +4/+5.5 dog -> +10/+11.5 (through 7),True,11.0,1.0,False
2024,10,CHI,NE,-7.0,6.173809133449864,-16,HOME,2,0.749,HOME -7/-6 fav -> -1/-0 (through 3),False,-1.0,0.0,False
2024,10,DAL,PHI,2.5,-6.013819419660419,-28,HOME,2,0.766,HOME +1.5/+2.5 dog -> +7.5/+8.5 [Wong B],False,8.5,0.0,False
2024,10,IND,BUF,4.0,-7.792400176307167,-10,HOME,1,0.833,HOME +4/+5.5 dog -> +10/+11.5 (through 7),False,10.0,,True
2024,10,JAX,MIN,4.0,-5.776586769655429,-5,HOME,1,0.833,HOME +4/+5.5 dog -> +10/+11.5 (through 7),False,10.0,1.0,False
2024,10,LAC,TEN,-7.0,5.127597968914058,10,HOME,2,0.749,HOME -7/-6 fav -> -1/-0 (through 3),False,-1.0,1.0,False
2024,10,LAR,MIA,-2.5,-0.10290743598760232,-8,AWAY,1,0.794,AWAY +1.5/+2.5 dog -> +7.5/+8.5 [Wong D],True,-8.5,1.0,False
2024,10,NO,ATL,1.0,-1.3183132393452883,3,HOME,2,0.733,HOME pickem -> +5/+7 (through 3),False,7.0,1.0,False
2024,10,TB,SF,6.25,-4.458806100544815,-3,AWAY,2,0.796,AWAY -6/-7 fav -> -0/-1 (through 3),False,0.25,1.0,False
2024,10,WAS,PIT,-1.5,0.0727622081401908,-1,AWAY,1,0.794,AWAY +1.5/+2.5 dog -> +7.5/+8.5 [Wong D],True,-7.5,1.0,False
2024,11,BUF,KC,0.0,0.8354486514167501,9,HOME,2,0.733,HOME pickem -> +5/+7 (through 3),True,6.0,1.0,False
2024,11,DAL,HOU,6.25,-0.5446782743106822,-24,AWAY,2,0.796,AWAY -6/-7 fav -> -0/-1 (through 3),False,0.25,1.0,False
2024,11,LAC,CIN,-1.5,-1.8070212766636187,7,AWAY,1,0.794,AWAY +1.5/+2.5 dog -> +7.5/+8.5 [Wong D],True,-7.5,1.0,False
2024,11,MIA,LV,-7.0,7.8150585540974875,15,HOME,2,0.749,HOME -7/-6 fav -> -1/-0 (through 3),True,-1.0,1.0,False
2024,11,NO,CLE,-1.5,2.5267515848429407,21,AWAY,1,0.794,AWAY +1.5/+2.5 dog -> +7.5/+8.5 [Wong D],False,-7.5,0.0,False
2024,11,NYJ,IND,-3.5,5.266304691148835,-1,AWAY,2,0.749,AWAY +3/+3.5 dog -> +9/+9.5 (through 3+7),False,-9.5,1.0,False
2024,11,PHI,WAS,-3.5,6.168961887805847,8,AWAY,2,0.749,AWAY +3/+3.5 dog -> +9/+9.5 (through 3+7),False,-9.5,1.0,False
2024,11,SF,SEA,-7.0,1.667595366911116,-3,HOME,2,0.749,HOME -7/-6 fav -> -1/-0 (through 3),False,-1.0,0.0,False
2024,11,TEN,MIN,6.0,-5.490436786032263,-10,AWAY,2,0.796,AWAY -6/-7 fav -> -0/-1 (through 3),False,0.0,1.0,False
2024,12,CHI,MIN,5.0,-0.07076778620238236,-3,HOME,1,0.833,HOME +4/+5.5 dog -> +10/+11.5 (through 7),True,11.0,1.0,False
2024,12,CLE,PIT,4.0,-0.9969953668175661,5,HOME,1,0.833,HOME +4/+5.5 dog -> +10/+11.5 (through 7),True,10.0,1.0,False
2024,12,GB,SF,-0.25,3.194144345868233,28,HOME,2,0.733,HOME pickem -> +5/+7 (through 3),True,5.75,1.0,False
2024,12,IND,DET,7.0,-7.899075599767711,-18,AWAY,2,0.796,AWAY -6/-7 fav -> -0/-1 (through 3),True,1.0,1.0,False
2024,12,MIA,NE,-7.0,8.46283572139816,19,HOME,2,0.749,HOME -7/-6 fav -> -1/-0 (through 3),True,-1.0,1.0,False
2024,12,SEA,ARI,-1.0,-1.1122361715696578,10,HOME,2,0.733,HOME pickem -> +5/+7 (through 3),False,5.0,1.0,False
2024,13,ATL,LAC,1.5,-5.17338384572,-4,HOME,2,0.766,HOME +1.5/+2.5 dog -> +7.5/+8.5 [Wong B],False,7.5,1.0,False
2024,13,BAL,PHI,-3.0,5.008397275120438,-5,AWAY,2,0.749,AWAY +3/+3.5 dog -> +9/+9.5 (through 3+7),False,-9.0,1.0,False
2024,13,BUF,SF,-3.5,6.999383045037605,25,AWAY,2,0.749,AWAY +3/+3.5 dog -> +9/+9.5 (through 3+7),False,-9.5,0.0,False
2024,13,CAR,TB,6.5,-10.38532700013023,-3,AWAY,2,0.796,AWAY -6/-7 fav -> -0/-1 (through 3),True,0.5,1.0,False
2024,13,CIN,PIT,-1.75,1.1257287058801324,-6,AWAY,1,0.794,AWAY +1.5/+2.5 dog -> +7.5/+8.5 [Wong D],True,-7.75,1.0,False
2024,13,DAL,NYG,-2.5,9.766602224852596,7,AWAY,1,0.794,AWAY +1.5/+2.5 dog -> +7.5/+8.5 [Wong D],False,-8.5,1.0,False
2024,13,DEN,CLE,-6.75,9.784785532792041,9,HOME,2,0.749,HOME -7/-6 fav -> -1/-0 (through 3),True,-0.75,1.0,False
2024,13,GB,MIA,-3.5,3.550484720518222,13,AWAY,2,0.749,AWAY +3/+3.5 dog -> +9/+9.5 (through 3+7),False,-9.5,0.0,False
2024,13,JAX,HOU,6.25,-4.262717043939487,-3,AWAY,2,0.796,AWAY -6/-7 fav -> -0/-1 (through 3),False,0.25,1.0,False
2024,13,NE,IND,2.5,0.38299548521138593,-1,HOME,2,0.766,HOME +1.5/+2.5 dog -> +7.5/+8.5 [Wong B],True,8.5,1.0,False
2024,13,NO,LAR,2.5,0.831335889718074,-7,HOME,2,0.766,HOME +1.5/+2.5 dog -> +7.5/+8.5 [Wong B],True,8.5,1.0,False
2024,13,NYJ,SEA,-0.75,0.6790444387201441,-5,HOME,2,0.733,HOME pickem -> +5/+7 (through 3),False,5.25,1.0,False
2024,13,WAS,TEN,-7.0,9.381801171083353,23,HOME,2,0.749,HOME -7/-6 fav -> -1/-0 (through 3),True,-1.0,1.0,False
2024,14,ARI,SEA,-2.25,1.8117814158376537,-12,AWAY,1,0.794,AWAY +1.5/+2.5 dog -> +7.5/+8.5 [Wong D],True,-8.25,1.0,False
2024,14,DAL,CIN,6.25,-2.430904007511738,-7,AWAY,2,0.796,AWAY -6/-7 fav -> -0/-1 (through 3),False,0.25,1.0,False
2024,14,MIA,NYJ,-6.5,3.396083587630023,6,HOME,2,0.749,HOME -7/-6 fav -> -1/-0 (through 3),False,-0.5,1.0,False
2024,14,PIT,CLE,-6.5,8.315877414930771,13,HOME,2,0.749,HOME -7/-6 fav -> -1/-0 (through 3),True,-0.5,1.0,False
2024,14,SF,CHI,-6.0,6.3233850452910225,25,HOME,2,0.749,HOME -7/-6 fav -> -1/-0 (through 3),True,0.0,1.0,False
2024,15,ARI,NE,-6.5,9.131582207293102,13,HOME,2,0.749,HOME -7/-6 fav -> -1/-0 (through 3),True,-0.5,1.0,False
2024,15,CAR,DAL,0.75,-0.15229467719036832,-16,HOME,2,0.733,HOME pickem -> +5/+7 (through 3),True,6.75,0.0,False
2024,15,CLE,KC,6.25,-2.423489252457227,-14,AWAY,2,0.796,AWAY -6/-7 fav -> -0/-1 (through 3),False,0.25,1.0,False
2024,15,DET,BUF,-2.5,-0.25960537816666307,-6,AWAY,1,0.794,AWAY +1.5/+2.5 dog -> +7.5/+8.5 [Wong D],True,-8.5,1.0,False
2024,15,HOU,MIA,-2.5,9.404213772496039,8,AWAY,1,0.794,AWAY +1.5/+2.5 dog -> +7.5/+8.5 [Wong D],False,-8.5,1.0,False
2024,15,LAC,TB,-3.0,-2.074063341189637,-23,AWAY,2,0.749,AWAY +3/+3.5 dog -> +9/+9.5 (through 3+7),True,-9.0,1.0,False
2024,15,SF,LAR,-3.0,4.062560774021937,-6,AWAY,2,0.749,AWAY +3/+3.5 dog -> +9/+9.5 (through 3+7),False,-9.0,1.0,False
2024,16,CIN,CLE,-6.0,10.40005197867041,18,HOME,2,0.749,HOME -7/-6 fav -> -1/-0 (through 3),True,0.0,1.0,False
2024,16,DAL,TB,4.0,-3.978193418455474,2,HOME,1,0.833,HOME +4/+5.5 dog -> +10/+11.5 (through 7),True,10.0,1.0,False
2024,16,KC,HOU,-3.5,2.0205814859656743,8,AWAY,2,0.749,AWAY +3/+3.5 dog -> +9/+9.5 (through 3+7),True,-9.5,1.0,False
2024,16,LAC,DEN,-3.0,4.1202625001918385,7,AWAY,2,0.749,AWAY +3/+3.5 dog -> +9/+9.5 (through 3+7),False,-9.0,1.0,False
2024,16,LV,JAX,-1.0,1.2278502512980445,5,HOME,2,0.733,HOME pickem -> +5/+7 (through 3),True,5.0,1.0,False
2024,16,MIA,SF,-1.5,1.3413385086702196,12,AWAY,1,0.794,AWAY +1.5/+2.5 dog -> +7.5/+8.5 [Wong D],True,-7.5,0.0,False
2024,16,SEA,MIN,2.5,-1.3907348571351563,-3,HOME,2,0.766,HOME +1.5/+2.5 dog -> +7.5/+8.5 [Wong B],True,8.5,1.0,False
2024,17,CHI,SEA,2.0,0.5174223687710595,-3,HOME,2,0.766,HOME +1.5/+2.5 dog -> +7.5/+8.5 [Wong B],True,8.0,1.0,False
2024,17,CIN,DEN,-3.0,8.744718579876707,6,AWAY,2,0.749,AWAY +3/+3.5 dog -> +9/+9.5 (through 3+7),False,-9.0,1.0,False
2024,17,JAX,TEN,-1.0,0.4881836975479241,7,HOME,2,0.733,HOME pickem -> +5/+7 (through 3),False,5.0,1.0,False
2024,17,LAR,ARI,-3.0,6.648249114644068,4,AWAY,2,0.749,AWAY +3/+3.5 dog -> +9/+9.5 (through 3+7),False,-9.0,1.0,False
2024,17,MIN,GB,-1.5,-0.10469639693190125,2,AWAY,1,0.794,AWAY +1.5/+2.5 dog -> +7.5/+8.5 [Wong D],True,-7.5,1.0,False
2024,17,NO,LV,-2.5,0.5804454871271718,-15,AWAY,1,0.794,AWAY +1.5/+2.5 dog -> +7.5/+8.5 [Wong D],True,-8.5,1.0,False
2024,17,NYG,IND,6.5,-2.7328909253541767,12,AWAY,2,0.796,AWAY -6/-7 fav -> -0/-1 (through 3),False,0.5,0.0,False
2024,17,PIT,KC,2.25,-0.06413813676521718,-19,HOME,2,0.766,HOME +1.5/+2.5 dog -> +7.5/+8.5 [Wong B],True,8.25,0.0,False
2024,17,WAS,ATL,-3.5,6.418109988195745,6,AWAY,2,0.749,AWAY +3/+3.5 dog -> +9/+9.5 (through 3+7),False,-9.5,1.0,False
2024,18,ARI,SF,0.5,8.114259093798676,23,HOME,2,0.733,HOME pickem -> +5/+7 (through 3),True,6.5,1.0,False
2024,18,DET,MIN,-3.0,7.410460297603317,22,AWAY,2,0.749,AWAY +3/+3.5 dog -> +9/+9.5 (through 3+7),False,-9.0,0.0,False
2024,18,LAR,SEA,-0.75,-5.1204440129044695,-5,HOME,2,0.733,HOME pickem -> +5/+7 (through 3),False,5.25,1.0,False
2024,18,LV,LAC,5.5,1.571492235694746,-14,HOME,1,0.833,HOME +4/+5.5 dog -> +10/+11.5 (through 7),True,11.5,0.0,False
2024,18,NE,BUF,2.0,-4.96388631189214,7,HOME,2,0.766,HOME +1.5/+2.5 dog -> +7.5/+8.5 [Wong B],False,8.0,1.0,False
2024,18,NYJ,MIA,2.5,4.442259416192886,12,HOME,2,0.766,HOME +1.5/+2.5 dog -> +7.5/+8.5 [Wong B],True,8.5,1.0,False
2024,18,PHI,NYG,-3.5,11.239854429019235,7,AWAY,2,0.749,AWAY +3/+3.5 dog -> +9/+9.5 (through 3+7),False,-9.5,1.0,False
