phase,feature,rule,market,disc_n,disc_roi,disc_z,val_n,val_roi,val_excess,val_z
all,d_l5_win,d_l5_win <= -0.4,fg_spread_fav,386,8.320087939500809,2.4553769,410,1.5064317733049393,6.820625066757202,1.446667
gp50,pair_l10_margin_vs_line,pair_l10_margin_vs_line >= 6.85,fg_spread_away,197,13.379053771495819,2.1498978,208,1.7848463729023933,9.555165469646454,1.4443322
gp25,d_l3_atsm,d_l3_atsm >= 13.38,fg_ml_dog,175,27.446037530899048,2.511698,225,7.53600150346756,14.964617788791656,1.440889
gp25,h2h_days,h2h_days <= 6,fg_ml_home,154,12.058067321777344,2.102439,129,4.540741071105003,12.957943975925446,1.4348009
mid,a_l5_over,a_l5_over == 0.6,h1_spread_home,126,10.331210494041443,2.1379595,272,-2.496200054883957,8.276763558387756,1.433021
all,a_adj_tempo_pts,a_adj_tempo_pts <= 222.4,fg_total_over,480,6.992145627737045,2.584786,341,5.242568626999855,7.386782020330429,1.4295382
gp50,st_h_l10,st_h_l10 >= 0.7,fg_spread_dog,232,5.344060063362122,2.1056736,270,-3.0686508864164352,8.285260200500488,1.4288427
mid,meet_n,meet_n == 1,tt_away_over,191,19.30747479200363,2.271025,356,2.4354342371225357,7.1413300931453705,1.4184723
gp25,d_l10_atsm,d_l10_atsm >= 3.05,h1_total_under,273,9.131038188934326,2.1435483,566,0.23199438583105803,5.6825291365385056,1.4154214
postdl,h_l10_margin,h_l10_margin >= 5.4,fg_spread_dog,179,6.68138712644577,2.0061128,280,-2.4424467235803604,8.060997724533081,1.4148647
gp25,d_s2d_cover,d_s2d_cover <= -0.05128,h1_spread_home,267,7.122402638196945,2.3375642,500,-0.6666986271739006,6.009490042924881,1.4083936
stretch,pair_l10_margin_vs_line,pair_l10_margin_vs_line >= 6.65,fg_spread_away,225,11.995246261358261,2.0816774,242,0.9007307700812817,8.566421270370483,1.3965079
gp50,h_l10_margin,h_l10_margin >= 5.4,fg_spread_dog,198,6.086157634854317,2.0547163,285,-3.484126180410385,7.8697845339775085,1.3943815
postdl,st_h_l10,st_h_l10 >= 0.7,fg_spread_dog,207,6.077312305569649,2.0662322,264,-2.3283446207642555,8.175099641084671,1.393292
mid,a_adj_tempo_pts,a_adj_tempo_pts >= 228.2,fg_total_under,178,7.2546400129795074,2.0724702,447,5.513696372509003,6.101398169994354,1.3522807
gp25,d_d3_oum,d_d3_oum >= 17.7,fg_total_under,168,12.49999850988388,2.1868103,166,3.5052936524152756,9.950590133666992,1.343105
all,pair_l5_oum,pair_l5_oum < 0,h1_spread_dog,485,0.7201241794973612,2.0566518,1054,1.6080474480986595,3.929908573627472,1.3357387
gp50,d_l5_win,d_l5_win <= -0.4,fg_ml_fav,162,10.388927906751633,2.6615143,166,7.027149200439453,6.393899768590927,1.3207386
late,h_l10_gtot_vs_line,h_l10_gtot_vs_line <= -5,fg_ml_home,187,7.258234918117523,2.0379517,189,-0.28484403155744076,9.244154393672943,1.3144944
all,st_a_rank,st_a_rank <= 2,h1_spread_fav,165,14.114437997341156,2.0866055,327,0.18380307592451572,6.917034089565277,1.311664
all,d_l3_atsm,d_l3_atsm >= 13.43,fg_ml_dog,243,19.915948808193207,2.6368759,306,5.549347773194313,11.584080010652542,1.3087497
postdl,st_days_to_deadline,st_days_to_deadline <= 24,tt_home_under,136,16.672314703464508,2.086562,280,-2.2208601236343384,7.421669363975525,1.3086654
all,gbr_fav,gbr_fav <= -0.1111,h1_spread_away,271,6.949469447135925,2.1137204,515,2.331242151558399,5.5046044290065765,1.3080491
all,h_s2d_h1m,h_s2d_h1m >= 1.665,fg_ml_home,711,4.141282290220261,2.1346092,761,-1.9825391471385956,4.877205938100815,1.3051146
gp25,d_d5_oum,d_d5_oum >= 5.145,tt_home_under,258,11.212959885597229,2.0424998,491,-0.22410477977246046,5.592694878578186,1.3047845
all,a_s2d_h1t,a_s2d_h1t <= 112.7,fg_total_over,692,5.939824134111404,2.813541,624,2.8095507994294167,4.953764379024506,1.2968535
stretch,st_a_gp,st_a_gp >= 78,fg_total_over,135,8.879954367876053,2.0251749,135,11.711327731609344,10.610157996416092,1.2937491
all,a_d3_oum,a_d3_oum <= -5.457,tt_home_under,342,6.344164162874222,2.430931,687,-1.3202755711972713,4.6662840992212296,1.2876382
all,h_d5_h1m,h_d5_h1m >= 5.98,fg_total_under,233,12.251266092061996,2.7293553,250,0.8100726641714573,7.743299752473831,1.2827866
all,a_s2d_opp,a_s2d_opp <= 108.9,fg_total_over,228,15.552103519439697,3.1354778,242,5.722245201468468,7.866458594799042,1.2824789
veryLate,h_d5_h1m,h_d5_h1m >= 2.653,fg_total_under,155,9.618771821260452,2.5235465,167,-5.117035657167435,9.362833946943283,1.2743632
stretch,d_s2d_cover,d_s2d_cover <= -0.04658,h1_spread_home,169,12.876856327056885,2.5179317,324,1.9759526476264,6.745957583189011,1.2726353
all,d_s2d_h1t,d_s2d_h1t >= 6.7,tt_away_over,156,15.784615278244019,2.33808,209,4.438232257962227,8.343946933746338,1.2699441
all,d_d5_margin,d_d5_margin <= -11.07,fg_spread_away,231,8.281822502613068,2.0519783,257,1.7808876931667328,7.524213194847107,1.263044
all,a_adj_off,a_adj_off >= 113.9,fg_total_under,726,3.082161955535412,2.2296169,1283,-3.570278361439705,3.3629488199949265,1.2620946
all,st_days_to_deadline,st_days_to_deadline >= 48,fg_total_over,263,10.332288593053818,2.4807537,312,4.6410828828811646,6.785295903682709,1.256057
all,rt_imp_total,rt_imp_total >= 456.9,fg_total_under,489,4.244716838002205,2.099175,1092,-3.309544175863266,3.6236830055713654,1.254642
stretch,h_l10_win,h_l10_win >= 0.7,fg_spread_dog,264,5.5885374546051025,2.1134887,307,-0.44432091526687145,6.826583296060562,1.2526906
gp25,d_l5_oum,d_l5_oum >= 14.52,fg_total_under,164,12.920878827571869,2.2170882,140,3.660416603088379,10.105712711811066,1.252674
late,pair_l5_gtot_vs_line,pair_l5_gtot_vs_line > 0,fg_ml_away,306,13.442592322826385,2.0717802,320,7.296798378229141,9.481063485145569,1.2508075
all,d_s2d_gtot,d_s2d_gtot <= -12.58,fg_ml_home,236,9.683701395988464,2.0620818,166,3.1169001013040543,9.976644814014435,1.2468776
mid,a_l5_over,a_l5_over >= 0.8,fg_spread_away,167,7.439366728067398,2.1311235,154,7.967881113290787,9.548698365688324,1.2410319
all,a_streak_ou,a_streak_ou <= -1,h1_spread_away,613,2.4244699627161026,2.0038998,1179,0.25019992608577013,3.4235619008541107,1.2309188
stretch,gbr_fav,gbr_fav <= -0.1818,h1_spread_away,180,12.260939180850983,2.290068,348,2.047836221754551,6.290378421545029,1.2286725
postdl,d_l5_win,d_l5_win <= -0.4,fg_ml_fav,141,9.732335805892944,2.44584,166,6.126874312758446,5.929844081401825,1.2220558
all,st_h_gb_1,st_h_gb_1 >= 11.5,fg_spread_fav,759,4.886828735470772,2.452198,1152,-1.8793277442455292,3.4348659217357635,1.2212046
postdl,d_s2d_own,d_s2d_own <= -2.841,fg_spread_away,258,12.472280114889145,2.2338226,276,-1.098758541047573,7.011701166629791,1.2210767
early,h_l3_margin_vs_need,h_l3_margin_vs_need > 0,fg_ml_home,141,27.710500359535217,3.588767,157,8.853182196617126,9.677015244960785,1.2183528
gp25,a_s2d_over,a_s2d_over <= 0.4194,fg_ml_away,177,20.398254692554474,2.1100028,236,7.112624496221542,10.64075082540512,1.2129045
gp25,a_l5_atsm,a_l5_atsm <= -7.5,fg_ml_away,177,22.342823445796967,2.2985172,205,7.874993234872818,11.403119564056396,1.2114317
all,a_l10_own,a_l10_own >= 122.1,fg_spread_fav,220,9.352526068687439,2.0141065,216,2.5399556383490562,7.854149490594864,1.2091453
gp25,h_adj_def,h_adj_def <= 111,fg_total_over,344,6.555125862360001,2.338873,322,3.7671618163585663,6.400001794099808,1.203443
gp50,d_d5_gtot,d_d5_gtot >= 10.38,fg_ml_home,200,6.787187606096268,2.0666735,161,-2.620580978691578,9.096857160329819,1.2029233
gp25,gbr_d,gbr_d >= 0.3333,fg_ml_fav,351,4.163824766874313,2.3480353,357,-0.2919460879638791,4.220175743103027,1.1998241
stretch,st_h_l10,st_h_l10 >= 0.7,fg_spread_dog,266,6.230045855045319,2.2311118,306,-0.7428614888340235,6.528042256832123,1.195955
late,h_l3_gtot_vs_line,h_l3_gtot_vs_line <= -7.25,fg_spread_home,184,6.859717518091202,2.025244,165,6.547278165817261,8.848050236701965,1.1901289
gp25,st_days_to_deadline,st_days_to_deadline >= 54,fg_total_over,180,9.235723316669464,2.0686255,220,5.007858574390411,7.640698552131653,1.1875774
all,d_l3_margin,d_l3_margin <= -18,fg_spread_fav,243,10.792393237352371,2.3519058,294,1.2844632379710674,6.598656624555588,1.1851727
gp25,st_h_gp,st_h_gp >= 70,tt_home_over,186,3.3875685185194016,2.0185902,373,1.3995974324643612,5.820225179195404,1.1842239
stretch,rt_total_gap,rt_total_gap >= 231.7,fg_total_over,225,6.060837209224701,2.1712632,225,8.613545447587967,7.512375712394714,1.1825782
gp25,a_adj_tempo_pts,a_adj_tempo_pts <= 223.9,fg_total_over,518,3.2065190374851227,2.0716403,368,3.242143988609314,5.874983966350555,1.1809951
gp25,gbr_fav,gbr_fav <= -0.1852,h1_spread_away,182,12.012747675180435,2.126023,384,3.4187834709882736,5.746249482035637,1.1790987
stretch,d_l3_margin,d_l3_margin <= -11.67,fg_spread_fav,227,12.704955041408539,2.36325,250,5.363977700471878,7.109498232603073,1.1780365
all,open_total_move,open_total_move <= -3.25,h1_spread_away,138,13.224530220031738,2.2815492,328,3.031061589717865,6.204423680901527,1.1766105
all,c_tt_home_point,c_tt_home_point <= 109.5,h1_spread_away,284,7.236810028553009,2.2146158,462,2.046220749616623,5.219582840800285,1.1747652
late,h_l3_gtot_vs_line,h_l3_gtot_vs_line <= -7.25,fg_ml_home,187,13.211019337177277,2.8460944,168,-0.8572546765208244,8.671743422746658,1.1625768
stretch,st_h_gp,st_h_gp >= 71,fg_total_over,342,3.267228975892067,2.1354108,346,7.048922032117844,5.947751924395561,1.1610535
all,a_d3_atsm,a_d3_atsm >= 9.009,fg_spread_away,234,8.5379958152771,2.1063063,243,1.3517086394131184,7.095034420490265,1.1581064
all,st_both_done,st_both_done == 1,fg_total_over,193,10.780370980501175,2.1903365,274,4.521631076931953,6.6658444702625275,1.1563619
gp25,a_d3_cover,a_d3_cover <= -0.3704,fg_spread_dog,172,11.020957678556442,2.251168,217,2.104424498975277,7.492721825838089,1.1555505
all,st_a_gb_6,st_a_gb_6 <= -5,tt_away_under,128,10.734106600284576,2.512965,251,0.820384081453085,6.911008805036545,1.1516554
stretch,a_l3_h1m,a_l3_h1m <= -5.667,fg_total_over,230,7.0698559284210205,2.355648,282,7.634478062391281,6.533308327198029,1.151381
gp50,st_d_playin_edge,st_d_playin_edge <= -6.5,h1_total_over,169,9.355032444000244,2.018938,319,3.4067686647176743,6.1314355581998825,1.1485884
stretch,a_l5_oum,a_l5_oum >= 4.7,tt_home_over,159,4.373950511217117,2.0606973,385,4.187944158911705,5.547337234020233,1.1472408
all,h_d5_margin,h_d5_margin >= 4.616,fg_total_under,467,6.706421822309494,2.6087215,565,-2.329425700008869,4.603801667690277,1.1465663
gp25,h2h_days,h2h_days <= 13,fg_ml_home,280,8.775133639574051,2.3158011,245,-0.9649115614593029,7.452291250228882,1.1371913
mid,d_gp_prior,d_gp_prior <= -1,fg_total_over,370,9.388022869825363,2.1997154,327,-2.5241291150450706,5.9711754322052,1.1323134
all,h_d5_h1m,h_d5_h1m >= 5.98,tt_home_under,129,14.736850559711456,2.4932253,251,0.7286109961569309,6.715171039104462,1.120052
gp25,d_d5_gtot,d_d5_gtot >= 5.93,tt_home_under,252,11.567205935716629,2.0782592,495,-1.0489406064152718,4.767858982086182,1.1168708
mid,a_d3_h1m,a_d3_h1m >= 5.667,fg_ml_away,183,11.063859611749649,2.1486382,156,14.68111127614975,12.202663719654083,1.1116393
stretch,st_d_win_pct,st_d_win_pct < 0,fg_ml_fav,574,1.5107651241123676,2.0036314,537,0.07643744465894997,3.066696412861347,1.1039934
all,d_d5_win,d_d5_win <= -0.1559,fg_spread_fav,692,3.7442646920681,2.0266018,649,-1.1785742826759815,4.135619476437569,1.1036093
all,d_s2d_cover,d_s2d_cover >= 0.1694,tt_home_over,124,12.910312414169312,2.2701647,195,3.26530858874321,7.497349381446838,1.1028439
stretch,gbr_dog,gbr_dog >= 1.171,tt_home_over,136,5.454050749540329,2.0395036,266,5.040642246603966,6.400035321712494,1.1001778
mid,a_s2d_h1t,a_s2d_h1t <= 112.6,fg_total_over,264,10.6436587870121,2.0719342,243,-1.795423962175846,6.699880957603455,1.0952245
gp25,a_l3_atsm,a_l3_atsm <= -9.333,fg_spread_dog,181,11.798800528049469,2.4189346,216,1.7088526859879494,7.097150385379791,1.0920194
all,h_l3_gtot_vs_line,h_l3_gtot_vs_line <= -9.5,fg_spread_home,477,5.682426318526268,2.315955,472,1.5311840921640396,4.782156273722649,1.0880114
gp25,d_l10_oum,d_l10_oum >= 10.43,fg_total_under,158,12.37054392695427,2.1036804,138,2.3811012506484985,8.826397359371185,1.0862508
stretch,a_l5_own,a_l5_own >= 118.2,fg_total_under,342,9.973020851612091,2.1918166,369,-4.78808619081974,5.38824163377285,1.0860602
gp25,a_d3_over,a_d3_over <= -0.2143,tt_home_under,187,13.046756386756897,2.0048869,315,-0.025210456806235015,5.791589245200157,1.0822558
postdl,d_s2d_cover,d_s2d_cover <= -0.04271,h1_spread_home,131,15.040437877178192,2.3192918,301,2.8175195679068565,5.948904901742935,1.0814459
gp25,d_trav_km,d_trav_km > 0,fg_ml_away,373,20.160722732543945,3.0295992,387,3.869616985321045,7.397743314504623,1.0798242
gp50,d_s2d_cover,d_s2d_cover <= -0.04439,h1_spread_home,142,14.195436239242554,2.4839296,301,2.1762462332844734,5.935283750295639,1.078954
mid,st_d_gp,st_d_gp <= -1,fg_total_over,323,12.890605628490448,2.7150629,328,-2.8213100507855415,5.673994868993759,1.0776031
stretch,d_d5_atsm,d_d5_atsm >= 6.763,fg_ml_dog,229,21.435457468032837,2.2023513,255,-3.570377081632614,10.26722863316536,1.0734156
veryLate,a_l10_margin,a_l10_margin >= 3.9,fg_ml_fav,159,7.6774924993515015,2.2169392,175,4.778125137090683,4.879985749721527,1.0623788
all,st_a_win_pct,st_a_win_pct >= 0.6957,h1_spread_fav,144,14.844006299972534,2.0413558,312,-1.0012383572757244,5.731992796063423,1.0617242
veryLate,open_total_move,open_total_move <= -1,fg_total_over,176,14.984123408794403,2.0000668,195,12.604603171348572,7.201562821865082,1.0592394
