market,variant,cut,venue,n,win,roi,blind_roi,delta
player_assists,pois,top10%,best,4037,52.91057716125837,-3.1792738043733357,-3.778872178101085,0.5995983737277495
player_assists,nb,top100%,cons,40368,51.10483551327785,-4.092983214322698,-5.183724715886397,1.0907415015636994
player_assists,nb,top100%,best,40367,52.525577823469675,-1.6805403601775677,-2.747803292576995,1.0672629323994272
player_assists,nb,top25%,cons,10092,50.49544193420531,-3.012568421227753,-3.023122034278882,0.010553613051128785
player_assists,nb,top25%,best,10092,52.12049147839873,-1.040262974919755,-1.0373839193802243,-0.002879055539530606
player_assists,nb,top10%,cons,4037,49.938072826356205,-3.392938425377332,-2.490099048685372,-0.90283937669196
player_assists,nb,top10%,best,4037,51.49863760217984,-2.50482546801847,-1.569210856983146,-0.9356146110353241
player_assists,emp,top100%,cons,40368,51.00079270709473,-5.285453576678754,-5.183724715886397,-0.10172886079235699
player_assists,emp,top100%,best,40367,51.97066911090742,-3.039432712462038,-2.747803292576995,-0.2916294198850431
player_assists,emp,top25%,cons,10092,51.119698771304,-5.5825656846171565,-4.769815563021602,-0.8127501215955544
player_assists,emp,top25%,best,10092,51.783590963139126,-3.8631636875279596,-3.0760536165970733,-0.7871100709308863
player_assists,emp,top10%,cons,4037,50.63165717116671,-6.009512225796688,-6.776236008381176,0.7667237825844877
player_assists,emp,top10%,best,4037,51.30047064651969,-4.956671253773195,-5.81104002702877,0.8543687732555743
player_rebounds,pois,top100%,cons,42767,51.31994294666449,-4.9981024087619605,-3.324219135900598,-1.6738832728613624
player_rebounds,pois,top100%,best,42766,52.438853294673336,-1.87607715614093,0.15250135169408108,-2.028578507835011
player_rebounds,pois,top25%,cons,10692,52.92742237186682,-2.5630041048226175,-1.3912217295040497,-1.1717823753185679
player_rebounds,pois,top25%,best,10692,53.79723157500935,-0.07884467178812822,1.4590848520191875,-1.5379295238073156
player_rebounds,pois,top10%,cons,4277,53.144727612812716,-2.014797718301398,0.6911629239114222,-2.7059606422128204
player_rebounds,pois,top10%,best,4277,54.126724339490295,0.31519488862443257,3.6737948983580204,-3.3586000097335877
player_rebounds,nb,top100%,cons,42767,51.53506208057615,-3.661279752266918,-3.324219135900598,-0.3370606163663199
player_rebounds,nb,top100%,best,42766,53.31571809381285,-0.2187647166914664,0.15250135169408108,-0.3712660683855475
player_rebounds,nb,top25%,cons,10692,52.45043022820801,-0.8900923839098854,-0.7211383801473467,-0.16895400376253877
player_rebounds,nb,top25%,best,10692,53.98428731762065,1.9933308069508844,2.187797416028038,-0.19446660907715363
player_rebounds,nb,top10%,cons,4277,53.097965863923314,0.7144823429989765,0.8342253679646101,-0.1197430249656336
player_rebounds,nb,top10%,best,4277,54.47743745616086,2.9818873999691298,3.0979494193404644,-0.11606201937133465
player_rebounds,emp,top100%,cons,42767,51.7688872261323,-4.192172911240342,-3.324219135900598,-0.8679537753397439
player_rebounds,emp,top100%,best,42766,52.925220969929384,-1.0286842428120964,0.15250135169408108,-1.1811855945061773
player_rebounds,emp,top25%,cons,10692,52.048260381593714,-3.558120173860301,-1.7604487646040827,-1.7976714092562183
player_rebounds,emp,top25%,best,10692,52.899364010475125,-1.055058677500658,0.9798692410419464,-2.0349279185426044
player_rebounds,emp,top10%,cons,4277,52.09258826280103,-4.290149413678087,-1.442544761873557,-2.84760465180453
player_rebounds,emp,top10%,best,4277,53.00444236614449,-1.7430163583717586,1.8134210776970545,-3.556437436068813
player_points,pois,top100%,cons,43659,51.03644151263199,-4.8145669434269855,-4.031939503964126,-0.7826274394628596
player_points,pois,top100%,best,43658,52.226396078611025,-1.764533483865766,-0.6793073385884275,-1.0852261452773386
player_points,pois,top25%,cons,10915,51.96518552450756,-3.413992935072322,-4.970868385225821,1.5568754501534992
player_points,pois,top25%,best,10915,52.76225377920293,-0.8264863387303127,-1.2943059285190528,0.46781958978874005
player_points,pois,top10%,cons,4366,51.557489693082914,-4.239208186049556,-4.536159648515191,0.29695146246563553
player_points,pois,top10%,best,4366,52.1759047182776,-2.026356740987361,-1.0670136078420824,-0.9593431331452786
player_points,nb,top100%,cons,43659,51.5815753910992,-3.5799640745164147,-4.031939503964126,0.4519754294477112
player_points,nb,top100%,best,43658,52.88148792890192,-0.5026782982686561,-0.6793073385884275,0.17662904031977145
player_points,nb,top25%,cons,10915,52.73476866697205,-1.5849426684989003,-1.5599219590439144,-0.025020709454985912
player_points,nb,top25%,best,10915,53.770041227668344,1.0279113067927514,1.3089395661557206,-0.28102825936296916
