market,cut,venue,n,win,roi,blind_win,blind_roi,delta
player_points,top5%,cons,2183,53.77920293174531,-1.0605586760097614,53.2295006871278,-1.1421732437266596,0.08161456771689823
player_points,top5%,best,2188,54.6617915904936,2.041886439053189,54.43327239488117,2.073506261792436,-0.03161982273924702
player_points_assists,top100%,cons,38552,51.62637476654908,-4.40077913279948,50.9753060800996,-4.826659605163686,0.4258804723642058
player_points_assists,top100%,best,38735,52.64489479798632,-2.0744561764352842,52.198270298179935,-2.3439008309115774,0.2694446544762932
player_points_assists,top50%,cons,19276,51.986926748288035,-4.271451497775535,51.31770076779415,-4.384285505937576,0.11283400816204026
player_points_assists,top50%,best,19368,52.90169351507642,-1.9793999596402352,52.478314745972746,-1.9450630520257708,-0.034336907614464396
player_points_assists,top25%,cons,9638,52.58352355260427,-3.581878555887194,51.55633948952065,-4.199337518964722,0.6174589630775276
player_points_assists,top25%,best,9684,53.46964064436184,-1.2074099105037672,52.65386204047914,-1.7436725807209636,0.5362626702171964
player_points_assists,top10%,cons,3856,54.253112033195016,-0.6420518816506714,52.5155601659751,-2.6679045246349826,2.025852642984311
player_points_assists,top10%,best,3874,54.981930820856995,1.614563690982163,53.536396489416624,-0.07878136991777553,1.6933450608999385
player_points_assists,top5%,cons,1928,53.267634854771785,-2.499514762544038,51.867219917012456,-3.9562572025659173,1.4567424400218791
player_points_assists,top5%,best,1937,53.84615384615385,-0.3953751424691944,52.86525554981931,-1.2422097363174116,0.8468345938482171
player_points_rebounds,top100%,cons,40786,51.05183151081253,-5.14207778651338,51.33133918501447,-3.9805287418806006,-1.1615490446327796
player_points_rebounds,top100%,best,40968,52.17486818980668,-2.5668800639538207,52.8705330990041,-1.0684528302061582,-1.4984272337476625
player_points_rebounds,top50%,cons,20393,52.13063306036385,-3.5705313426285112,51.39999019271318,-4.06071831501583,0.4901869723873187
player_points_rebounds,top50%,best,20484,53.22202694786174,-0.9580326025617749,53.09509861355204,-0.8947626917279807,-0.06326991083379419
player_points_rebounds,top25%,cons,10197,52.61351377856233,-2.990741106392274,52.642934196332256,-1.9463598640500255,-1.0443812423422485
player_points_rebounds,top25%,best,10242,53.573520796719386,-0.4517402238758298,54.24721734036321,1.1099692935288081,-1.5617095174046378
player_points_rebounds,top10%,cons,4079,54.30252512870801,-0.016910748085457776,53.24834518264281,-1.0491621847917239,1.032251436706266
player_points_rebounds,top10%,best,4097,55.18672199170125,2.5715610211088156,54.869416646326584,2.3257606926271617,0.2458003284816539
player_points_rebounds,top5%,cons,2040,54.80392156862746,0.8652899078294342,53.72549019607843,-0.2566815182274463,1.1219714260568805
player_points_rebounds,top5%,best,2049,55.4904831625183,3.2075167807676315,55.14885309907272,2.895500288758992,0.31201649200863946
player_points_rebounds_assists,top100%,cons,42651,51.452486459871984,-4.732354980921405,51.414972685282876,-4.108574609762507,-0.6237803711588983
player_points_rebounds_assists,top100%,best,42801,52.7324127940936,-1.8316281821938816,52.99876171117497,-1.0006202216716669,-0.8310079605222147
player_points_rebounds_assists,top50%,cons,21326,52.4664728500422,-3.427038627751692,51.81468629841508,-3.62707173288802,0.200033105136328
player_points_rebounds_assists,top50%,best,21401,53.56759029951872,-0.6814702321065875,53.287229568711744,-0.6153239077995004,-0.06614632430708711
player_points_rebounds_assists,top25%,cons,10663,53.221419863077934,-2.349194126036135,52.002250773703466,-3.494427681058676,1.145233555022541
player_points_rebounds_assists,top25%,best,10701,54.30333613680964,0.4604672541207058,53.40622371740958,-0.523957135844215,0.9844243899649208
player_points_rebounds_assists,top10%,cons,4266,53.000468823253634,-2.812700426975327,53.28176277543366,-1.1226965153770607,-1.6900039115982664
player_points_rebounds_assists,top10%,best,4281,54.07615043214202,0.03156183869224429,54.51997196916608,1.6472594032385615,-1.6156975645463172
player_points_rebounds_assists,top5%,cons,2133,53.21143928738865,-2.2373891916288438,54.289732770745424,0.7752489048832187,-3.0126380965120623
player_points_rebounds_assists,top5%,best,2141,54.0401681457263,0.24863029962830988,55.347968239140585,3.384921368122769,-3.136291068494459
player_rebounds,top100%,cons,42767,53.55531133818131,-5.053826185597011,52.22016975705568,-3.324219135900598,-1.7296070496964124
player_rebounds,top100%,best,42901,54.18987902379898,-1.9702060459204807,54.15724575184727,0.35954785845484816,-2.3297539043753286
player_rebounds,top50%,cons,21384,55.80808080808081,-3.825375609994604,53.54938271604939,-2.7644225961699096,-1.0609530138246943
player_rebounds,top50%,best,21451,56.16987553027831,-1.0784739914721115,55.58249032679129,0.7729392452710359,-1.8514132367431473
player_rebounds,top25%,cons,10692,57.173587729143286,-3.0369813940385018,54.72315750093528,-2.4170067998919644,-0.6199745941465373
player_rebounds,top25%,best,10726,57.42121946671639,-0.4812686874109397,56.49822860339362,0.9143447278040726,-1.3956134152150124
player_rebounds,top10%,cons,4277,58.007949497311195,-2.363292076109948,54.43067570727145,-4.521690185364926,2.1583981092549775
player_rebounds,top10%,best,4291,58.23817292006525,0.06912606103079659,56.04754136564903,-1.1404952533982402,1.2096213144290369
player_rebounds,top5%,cons,2139,58.06451612903226,-2.2295388956948274,56.80224403927069,-0.551085786431568,-1.6784531092632595
player_rebounds,top5%,best,2146,58.38769804287046,0.21766161985299573,58.1547064305685,2.4194601753106877,-2.201798555457692
player_rebounds_assists,top100%,cons,38036,52.04805973288463,-5.454273500118061,51.76148911557472,-3.3711150728925348,-2.0831584272255266
player_rebounds_assists,top100%,best,38187,52.811166103647835,-3.312457834656292,53.02066148165606,-1.0263509282981633,-2.2861069063581283
player_rebounds_assists,top50%,cons,19018,53.22326217267852,-4.890555194129025,52.387212114838576,-3.405932384605901,-1.484622809523124
player_rebounds_assists,top50%,best,19094,53.83890227296533,-2.8541290598963522,53.519430187493455,-1.2449041628595345,-1.6092248970368177
player_rebounds_assists,top25%,cons,9509,53.98043958355242,-4.396141085643249,53.00241876117362,-3.1119841031940947,-1.2841569824491543
player_rebounds_assists,top25%,best,9547,54.47784644390909,-2.460880766267538,53.933172724416046,-1.1861357087550568,-1.274745057512481
player_rebounds_assists,top10%,cons,3804,54.62670872765511,-3.563159798222009,53.83806519453207,-2.0436975889526834,-1.5194622092693257
player_rebounds_assists,top10%,best,3819,55.04058654097932,-1.712060224388744,54.49070437287248,-0.4441068446520705,-1.2679533797366735
player_rebounds_assists,top5%,cons,1902,55.41535226077813,-2.263786144687801,53.41745531019979,-3.1039941699472258,0.8402080252594248
player_rebounds_assists,top5%,best,1910,55.70680628272251,-0.6262328050523528,53.97905759162304,-1.4769033424517246,0.8506705373993718
player_steals,top100%,cons,26346,58.44910043270326,-4.6572076014629715,52.22424656494344,-2.5163480273178496,-2.140859574145122
player_steals,top100%,best,26519,58.75410083336475,-3.3295714237997536,53.0261322070968,-0.9340965890332384,-2.395474834766515
player_steals,top50%,cons,13173,63.03044105367038,-3.474419938489045,55.469520989903586,-2.1858596796328102,-1.2885602588562346
player_steals,top50%,best,13260,62.98642533936651,-2.2682564551654085,56.199095022624434,-0.5022552182411896,-1.766001236924219
player_steals,top25%,cons,6587,66.08471231212995,-1.6929414215481695,60.589039016244115,-1.1784387916141021,-0.5145026299340674
player_steals,top25%,best,6630,66.03318250377073,-0.39310894940233876,61.34238310708899,0.5922085703048591,-0.9853175197071978
