market,cut,venue,n,win,roi,blind_roi,delta,mae_blend,mae_line,mae_model
player_points,top25%,cons,9638,49.356713010998135,-4.684370241612412,-4.2480383566935345,-0.43633188491887775,4.922363348762911,4.915945819952347,4.970940114697909
player_points,top25%,best,9653,50.03625815808557,-6.071901045400812,-1.1250173626916218,-4.94688368270919,4.922363348762911,4.915945819952347,4.970940114697909
player_points,top25%,second,9264,49.579015544041454,-7.0253523031252865,-2.690801683279311,-4.334550619845976,4.922363348762911,4.915945819952347,4.970940114697909
player_points,top10%,cons,3857,50.427793621986,-2.0598262432544443,-2.494040588223628,0.43421434496918376,4.922363348762911,4.915945819952347,4.970940114697909
player_points,top10%,best,3862,51.061626100466086,-4.150479081256102,0.7407645435916026,-4.8912436248477045,4.922363348762911,4.915945819952347,4.970940114697909
player_points,top10%,second,3706,50.74203993524015,-4.913185510324004,-0.5538375391808318,-4.359347971143172,4.922363348762911,4.915945819952347,4.970940114697909
player_points,top5%,cons,1930,49.94818652849741,-2.3219145270826904,-2.620670122186137,0.2987555951034464,4.922363348762911,4.915945819952347,4.970940114697909
player_points,top5%,best,1932,50.64699792960663,-4.753920448245963,0.8624380419713369,-5.6163584902173,4.922363348762911,4.915945819952347,4.970940114697909
player_points,top5%,second,1853,50.755531570426335,-4.882981863397556,-0.21151730773645802,-4.671464555661098,4.922363348762911,4.915945819952347,4.970940114697909
player_points_assists,top100%,cons,33635,49.49308755760369,-5.755935893718708,-4.944957071735013,-0.8109788219836949,5.440981025931238,5.4366255509214065,5.494019809933813
player_points_assists,top100%,best,33807,49.621380187535124,-6.958403942638377,-2.460689355604403,-4.497714587033974,5.440981025931238,5.4366255509214065,5.494019809933813
player_points_assists,top100%,second,28195,49.98226635928356,-6.5251393767615795,-4.39712514139951,-2.1280142353620697,5.440981025931238,5.4366255509214065,5.494019809933813
player_points_assists,top25%,cons,8416,48.89496197718631,-5.407777376217987,-3.1806742425427235,-2.2271031336752634,5.440981025931238,5.4366255509214065,5.494019809933813
player_points_assists,top25%,best,8452,49.00615238996687,-7.992561914686112,-0.9439457551709748,-7.048616159515137,5.440981025931238,5.4366255509214065,5.494019809933813
player_points_assists,top25%,second,7049,49.822669882252804,-6.826928513728907,-2.180049802956302,-4.646878710772605,5.440981025931238,5.4366255509214065,5.494019809933813
player_points_assists,top10%,cons,3369,49.62897002077768,-3.639140048413434,-1.1501337237087759,-2.489006324704658,5.440981025931238,5.4366255509214065,5.494019809933813
player_points_assists,top10%,best,3382,49.65996451803666,-6.682172722537302,0.8636925785870048,-7.545865301124307,5.440981025931238,5.4366255509214065,5.494019809933813
