market,variant,model,top,n,win,roi,corr,mae_model,mae_mkt,per
h1_total,raw,hgb,top25%,635,52.28346456692914,-0.1995927275398528,0.029255557192519287,9.825644165784075,9.2248046875,52/53
h1_total,raw,hgb,top10%,256,48.4375,-7.440248127052248,0.029255557192519287,9.825644165784075,9.2248046875,50/47
h1_total,raw,hgb,top5%,128,47.65625,-8.985695606085214,0.029255557192519287,9.825644165784075,9.2248046875,46/49
h1_total,raw,lgbm,top100%,2537,51.51754040204967,-1.6615191498255502,0.01741524835063813,9.773258820001667,9.2248046875,50/53
h1_total,raw,lgbm,top50%,1265,50.11857707509881,-4.322628821683533,0.01741524835063813,9.773258820001667,9.2248046875,50/50
h1_total,raw,lgbm,top25%,635,48.818897637795274,-6.7567956307136985,0.01741524835063813,9.773258820001667,9.2248046875,49/49
h1_total,raw,lgbm,top10%,255,46.27450980392157,-11.575689799381415,0.01741524835063813,9.773258820001667,9.2248046875,45/47
h1_total,raw,lgbm,top5%,128,47.65625,-8.920652639206658,0.01741524835063813,9.773258820001667,9.2248046875,45/51
h1_total,raw,xgb,top100%,2537,50.80804099329917,-3.0157168083317685,0.027436092731414657,9.724830475449561,9.2248046875,50/52
h1_total,raw,xgb,top50%,1268,51.57728706624606,-1.5332583586980433,0.027436092731414657,9.724830475449561,9.2248046875,53/50
h1_total,raw,xgb,top25%,634,49.684542586750794,-5.119577832505518,0.027436092731414657,9.724830475449561,9.2248046875,51/49
h1_total,raw,xgb,top10%,254,50.0,-4.430951742697616,0.027436092731414657,9.724830475449561,9.2248046875,52/48
h1_total,raw,xgb,top5%,128,46.875,-10.472645628072904,0.027436092731414657,9.724830475449561,9.2248046875,45/48
h1_total,raw,cat,top100%,2537,50.2167914860071,-4.1594149732345365,0.009590329239686632,9.696358926280983,9.2248046875,50/50
h1_total,raw,cat,top50%,1267,49.25019731649566,-5.987219790453696,0.009590329239686632,9.696358926280983,9.2248046875,47/51
h1_total,raw,cat,top25%,635,48.188976377952756,-7.990092817534817,0.009590329239686632,9.696358926280983,9.2248046875,48/48
h1_total,raw,cat,top10%,256,46.875,-10.459818958514228,0.009590329239686632,9.696358926280983,9.2248046875,50/44
