market,model,mode,cut,venue,n,win,roi,blind_roi,delta
player_points_rebounds,clf,mkt,top100%,cons,43574,51.26222059026024,-4.1307210353197,-3.659254704827466,-0.4714663304922344
player_points_rebounds,clf,mkt,top100%,best,43763,52.48726092818134,-1.5182591616702883,-0.7941438805655735,-0.7241152811047148
player_points_rebounds,clf,mkt,top25%,cons,10894,51.82669359280337,-3.383586736957108,-3.502409245216324,0.11882250825921581
player_points_rebounds,clf,mkt,top25%,best,10941,52.91106845809341,-0.7888416541841935,-0.34921012383668365,-0.43963153034750985
player_points_rebounds,clf,mkt,top10%,cons,4358,52.3405231757687,-2.6354545926544413,-3.0788036129134353,0.44334902025899403
player_points_rebounds,clf,mkt,top10%,best,4377,53.23280785926434,-0.22212238597194436,0.1420038760130553,-0.36412626198499964
player_points_rebounds,clf,mkt,top5%,cons,2179,52.27168425883433,-2.9082772489970514,-2.834966402635929,-0.07331084636112228
player_points_rebounds,clf,mkt,top5%,best,2189,52.94655093650068,-0.7441251176631086,0.04988928917283171,-0.7940144068359404
player_points_rebounds,clf,abs,top100%,cons,43574,51.24156607151053,-4.6297710231419975,-3.659254704827466,-0.9705163183145316
player_points_rebounds,clf,abs,top100%,best,43763,52.409569727852286,-2.017145630777409,-0.7941438805655735,-1.2230017502118358
player_points_rebounds,clf,abs,top25%,cons,10894,52.14797136038186,-3.5470068268717285,-2.9404225120943623,-0.6065843147773662
player_points_rebounds,clf,abs,top25%,best,10941,53.11214697011242,-1.011747536390336,0.29166689325257156,-1.3034144296429075
player_points_rebounds,clf,abs,top10%,cons,4358,52.8682882055989,-2.4348034394777605,-2.671101324161076,0.23629788468331547
player_points_rebounds,clf,abs,top10%,best,4377,53.598355037697054,-0.10682393187988505,0.45242073439505914,-0.5592446662749442
player_points_rebounds,clf,abs,top5%,cons,2179,52.8682882055989,-2.6113569490293562,-3.747304851388428,1.1359479023590717
player_points_rebounds,clf,abs,top5%,best,2189,53.449063499314754,-0.4467028632671553,-0.8665946097393568,0.41989174647220145
player_points_rebounds,clf,under,top100%,cons,43574,51.50548492220132,-3.659254704827466,-3.659254704827466,0.0
player_points_rebounds,clf,under,top100%,best,43763,53.0128190480543,-0.7941438805655735,-0.7941438805655735,0.0
player_points_rebounds,clf,under,top25%,cons,10894,52.71709197723518,-1.6556527913546855,-3.659254704827466,2.0036019134727807
player_points_rebounds,clf,under,top25%,best,10941,53.87990128873046,0.9616002708757919,-0.7941438805655735,1.7557441514413654
player_points_rebounds,clf,under,top10%,cons,4358,52.98301973382286,-1.375031093765476,-3.659254704827466,2.2842236110619902
player_points_rebounds,clf,under,top10%,best,4377,54.19236920265021,1.5437374274044895,-0.7941438805655735,2.337881307970063
player_points_rebounds,clf,under,top5%,cons,2179,52.914180816888475,-1.6218639776869725,-3.659254704827466,2.0373907271404934
player_points_rebounds,clf,under,top5%,best,2189,54.0886249428963,1.302139026054567,-0.7941438805655735,2.0962829066201407
player_points_rebounds,mlp,mkt,top100%,cons,43574,50.65176481387984,-5.183734755422598,-3.659254704827466,-1.5244800505951317
player_points_rebounds,mlp,mkt,top100%,best,43763,51.9091469963211,-2.5443741968681963,-0.7941438805655735,-1.750230316302623
player_points_rebounds,mlp,mkt,top25%,cons,10894,50.91793647879567,-4.8714158238238845,-3.4241737762634656,-1.4472420475604189
player_points_rebounds,mlp,mkt,top25%,best,10941,51.95137555982085,-2.562107409869564,-0.6521837158489027,-1.9099236940206614
player_points_rebounds,mlp,mkt,top10%,cons,4358,51.97338228545204,-2.961205013742574,-1.721719937239179,-1.239485076503395
player_points_rebounds,mlp,mkt,top10%,best,4377,53.02718757139593,-0.6603669896909083,0.8417605209873505,-1.502127510678259
player_points_rebounds,mlp,mkt,top5%,cons,2179,52.363469481413496,-2.2123440628261837,-1.146327382438278,-1.0660166803879056
player_points_rebounds,mlp,mkt,top5%,best,2189,53.58611238008223,0.38146159593347767,1.9469568151053145,-1.5654952191718368
player_points_rebounds,mlp,abs,top100%,cons,43574,50.7252031027677,-5.5081750235091596,-3.659254704827466,-1.8489203186816936
player_points_rebounds,mlp,abs,top100%,best,43763,51.87258643146036,-2.9488812920173526,-0.7941438805655735,-2.154737411451779
player_points_rebounds,mlp,abs,top25%,cons,10894,51.41362217734533,-4.807266628543061,-3.3025239659423713,-1.5047426626006901
player_points_rebounds,mlp,abs,top25%,best,10941,52.344392651494374,-2.5036713571655675,-0.49028899113751234,-2.013382366028055
player_points_rebounds,mlp,abs,top10%,cons,4358,52.66177145479578,-2.593389220498143,-1.974724407533048,-0.6186648129650951
player_points_rebounds,mlp,abs,top10%,best,4377,53.55266164039296,-0.4228655649751241,0.5893852467239515,-1.0122508116990756
player_points_rebounds,mlp,abs,top5%,cons,2179,52.63882514915099,-2.630885219617741,-1.4328855010772747,-1.1979997185404663
player_points_rebounds,mlp,abs,top5%,best,2189,53.768844221105525,0.01797365129347967,1.4705221747742117,-1.452548523480732
player_points_rebounds,mlp,under,top100%,cons,43574,51.50548492220132,-3.659254704827466,-3.659254704827466,0.0
player_points_rebounds,mlp,under,top100%,best,43763,53.0128190480543,-0.7941438805655735,-0.7941438805655735,0.0
player_points_rebounds,mlp,under,top25%,cons,10894,51.927666605470904,-2.9974370270185084,-3.659254704827466,0.6618176778089575
player_points_rebounds,mlp,under,top25%,best,10941,52.96590805228041,-0.7647766261549234,-0.7941438805655735,0.029367254410650134
player_points_rebounds,mlp,under,top10%,cons,4358,52.38641578705828,-2.2784478076831522,-3.659254704827466,1.3808068971443137
player_points_rebounds,mlp,under,top10%,best,4377,53.392734749828655,-0.0035086913497747014,-0.7941438805655735,0.7906351892157988
player_points_rebounds,mlp,under,top5%,cons,2179,53.05185865075723,-1.0473469574006122,-3.659254704827466,2.6119077474268537
player_points_rebounds,mlp,under,top5%,best,2189,54.36272270443124,1.7316917024719602,-0.7941438805655735,2.5258355830375336
player_points_rebounds,stack,mkt,top100%,cons,35776,50.654069767441854,-4.481846892169955,-4.144416533223951,-0.3374303589460039
player_points_rebounds,stack,mkt,top100%,best,35947,51.901410409769944,-2.0954912656019515,-1.2909556117001955,-0.8045356539017561
player_points_rebounds,stack,mkt,top25%,cons,8950,51.79888268156425,-1.9881522349139165,-1.608918011521494,-0.3792342233924224
player_points_rebounds,stack,mkt,top25%,best,8996,52.779012894619825,0.1675204933352235,1.1734110493297416,-1.0058905559945182
player_points_rebounds,stack,mkt,top10%,cons,3579,53.05951383067896,-0.1508861755185635,1.1366343758032287,-1.2875205513217922
player_points_rebounds,stack,mkt,top10%,best,3595,53.7134909596662,1.639363609865743,3.3072722107379264,-1.6679086008721835
player_points_rebounds,stack,mkt,top5%,cons,1789,52.37562884292901,-2.0275537497241647,-0.93487697050117,-1.0926767792229946
player_points_rebounds,stack,mkt,top5%,best,1798,53.00333704115684,-0.2465249036124869,1.1243321938032038,-1.3708570974156906
player_points_rebounds,stack,abs,top100%,cons,35776,51.64915026833632,-4.129286768158134,-4.144416533223951,0.01512976506581687
player_points_rebounds,stack,abs,top100%,best,35947,52.638606837844605,-1.8079595303546736,-1.2909556117001955,-0.5170039186544781
player_points_rebounds,stack,abs,top25%,cons,9416,52.15590484282073,-4.218841471354032,-3.483015462161123,-0.7358260091929085
player_points_rebounds,stack,abs,top25%,best,9452,52.70842149809564,-2.3584666693054213,-0.5713999927220483,-1.787066676583373
player_points_rebounds,stack,abs,top10%,cons,3733,54.00482185909456,-1.0053114504013245,-0.5299797908824857,-0.4753316595188388
player_points_rebounds,stack,abs,top10%,best,3744,54.380341880341874,0.5598784352724369,1.1846568276230087,-0.6247783923505719
player_points_rebounds,stack,abs,top5%,cons,1929,53.862104717470196,-1.481687293391329,-0.9157346467887757,-0.5659526466025533
player_points_rebounds,stack,abs,top5%,best,1933,54.16451112260735,-0.02883621527626918,0.6743002727250023,-0.7031364880012715
player_points_rebounds,stack,under,top100%,cons,35776,51.22987477638641,-4.144416533223951,-4.144416533223951,0.0
player_points_rebounds,stack,under,top100%,best,35947,52.74988177038418,-1.2909556117001955,-1.2909556117001955,0.0
player_points_rebounds,stack,under,top25%,cons,8947,52.66569799932939,-0.6921590300556054,-4.144416533223951,3.4522575031683456
player_points_rebounds,stack,under,top25%,best,8996,53.723877278790575,1.574418709351254,-1.2909556117001955,2.8653743210514495
player_points_rebounds,stack,under,top10%,cons,3578,53.91280044717719,1.1474098054439146,-4.144416533223951,5.291826338667866
player_points_rebounds,stack,under,top10%,best,3595,54.60361613351877,2.9575405366231733,-1.2909556117001955,4.248496148323369
player_points_rebounds,stack,under,top5%,cons,1789,52.990497484628285,-1.1012265907445389,-4.144416533223951,3.0431899424794118
player_points_rebounds,stack,under,top5%,best,1798,53.44827586206896,0.3609775170866189,-1.2909556117001955,1.6519331287868144
player_points_rebounds_assists,qreg,mkt,top100%,cons,45373,51.00830890617768,-4.809272109567587,-3.8007659125805713,-1.0085061969870157
player_points_rebounds_assists,qreg,mkt,top100%,best,45524,52.348211932167644,-1.9397202340740174,-0.769166722625308,-1.1705535114487093
player_points_rebounds_assists,qreg,mkt,top25%,cons,11344,52.600493653032444,-2.227984715584135,-1.861684807222888,-0.3662999083612468
player_points_rebounds_assists,qreg,mkt,top25%,best,11381,53.58931552587646,0.29119096251868914,1.0565133204140467,-0.7653223578953575
player_points_rebounds_assists,qreg,mkt,top10%,cons,4538,52.40193918025562,-2.5840526874394287,-0.7228407737913506,-1.861211913648078
player_points_rebounds_assists,qreg,mkt,top10%,best,4553,53.23962222710301,-0.2269557877056106,1.940032788064489,-2.1669885757700995
player_points_rebounds_assists,qreg,mkt,top5%,cons,2269,52.622300572939615,-2.297030009063344,1.16146139869505,-3.458491407758394
player_points_rebounds_assists,qreg,mkt,top5%,best,2277,53.57927097057532,0.343940019293422,3.915318759010191,-3.5713787397167693
player_points_rebounds_assists,qreg,abs,top100%,cons,45373,51.17580940206731,-4.9689088473491205,-3.8007659125805713,-1.1681429347685492
player_points_rebounds_assists,qreg,abs,top100%,best,45524,52.444864247429926,-2.105998686281494,-0.769166722625308,-1.3368319636561858
player_points_rebounds_assists,qreg,abs,top25%,cons,11344,53.217559943582515,-2.003333646126291,-2.0443948256364157,0.04106117951012456
player_points_rebounds_assists,qreg,abs,top25%,best,11381,54.09893682453212,0.45417177898164646,0.8740895390039212,-0.4199177600222747
player_points_rebounds_assists,qreg,abs,top10%,cons,4538,53.349493168796826,-2.010399883357687,-0.8556431665878667,-1.1547567167698203
player_points_rebounds_assists,qreg,abs,top10%,best,4553,54.030309685921374,0.2546767677392589,1.7815113617461145,-1.5268345940068555
player_points_rebounds_assists,qreg,abs,top5%,cons,2269,54.07668576465403,-0.6871226234234289,0.5264918359695104,-1.2136144593929394
player_points_rebounds_assists,qreg,abs,top5%,best,2277,54.9407114624506,1.856273101200176,3.0725706079103574,-1.2162975067101813
player_points_rebounds_assists,qreg,under,top100%,cons,45373,51.5769290106451,-3.8007659125805713,-3.8007659125805713,0.0
player_points_rebounds_assists,qreg,under,top100%,best,45524,53.10166066250769,-0.769166722625308,-0.769166722625308,0.0
player_points_rebounds_assists,qreg,under,top25%,cons,11344,53.56135401974612,-0.47794151079167096,-3.8007659125805713,3.3228244017889
player_points_rebounds_assists,qreg,under,top25%,best,11381,54.643704419646774,2.1645729471181023,-0.769166722625308,2.93373966974341
