season,game_id,team,implied,anch_edge,fund_edge,tt_under,tt_over,pts,bet,homeTeam,awayTeam
2025,401752840,California,18.75,7.837665172056358,6.819576587923965,0,1,27.0,OVER,California,Minnesota
2025,401754533,Stanford,15.25,7.524574817066448,7.322720262093625,0,1,30.0,OVER,Stanford,Boston College
2025,401762468,Charlotte,20.25,1.2094311965551405,6.068780590833228,0,1,17.0,OVER,Charlotte,Rice
2025,401762468,Rice,21.75,6.92925276327253,6.7818154454247725,0,1,28.0,OVER,Charlotte,Rice
2025,401756900,Oklahoma State,32.25,-3.9068420507884163,-7.575110388811101,1,0,12.0,UNDER,Oklahoma State,Tulsa
2025,401756900,Tulsa,22.25,7.539556439885754,6.09147014298178,0,1,19.0,OVER,Oklahoma State,Tulsa
2025,401754642,Louisville,38.5,-4.842820369811321,-8.077990977919516,1,0,40.0,UNDER,Louisville,Bowling Green
2025,401754642,Bowling Green,12.0,-0.853060512592192,6.246859726590298,0,1,17.0,OVER,Louisville,Bowling Green
2025,401752845,Maryland,17.0,2.106826010405456,7.7775247656141175,0,1,27.0,OVER,Wisconsin,Maryland
2025,401754537,Clemson,35.5,-3.0791830312230175,-7.870435772729646,1,0,21.0,UNDER,Clemson,Syracuse
2025,401754636,TCU,35.0,-6.08003558109446,-6.2013365294926395,1,0,35.0,UNDER,TCU,SMU
2025,401752708,Arkansas,33.25,-4.234738095284317,-5.719549563778287,1,0,31.0,UNDER,Memphis,Arkansas
2025,401752715,Tennessee,53.75,-3.158307786464043,-5.403321182656818,1,0,56.0,UNDER,Tennessee,UAB
2025,401757262,Liberty,19.5,4.0462211668106605,6.466574640451682,0,1,13.0,OVER,Liberty,James Madison
2025,401752846,Michigan,24.5,6.164227767360789,6.273506402344054,0,1,30.0,OVER,Nebraska,Michigan
2025,401754541,Kent State,5.75,-0.4872605420692162,6.316549626230126,0,1,10.0,OVER,Florida State,Kent State
2025,401754640,North Carolina,19.75,-3.881247029201262,-1.138159116550991,1,0,9.0,UNDER,UCF,North Carolina
2025,401754640,North Carolina,19.75,-3.881247029201262,-1.138159116550991,1,0,9.0,UNDER,UCF,North Carolina
2025,401752712,Mississippi State,36.25,-3.6727790255174497,-2.3062954127963735,1,0,38.0,UNDER,Mississippi State,Northern Illinois
2025,401754542,Temple,14.0,3.643489340457222,7.88314807635285,0,1,24.0,OVER,Georgia Tech,Temple
2025,401757259,Florida International,29.25,-4.24823268895063,-5.552094979257113,1,0,16.0,UNDER,Florida International,Delaware
2025,401760372,Air Force,20.25,4.770450866891011,8.509691749079003,0,1,37.0,OVER,Air Force,Boise State
2025,401752713,Missouri,29.25,-3.3207391406663795,-2.185894998459773,1,0,29.0,UNDER,Missouri,South Carolina
2025,401752709,Miami,30.0,-4.146000924631842,-4.532914538330278,1,0,26.0,UNDER,Miami,Florida
2025,401752709,Florida,21.5,-5.477815357749392,-4.015226571922501,1,0,7.0,UNDER,Miami,Florida
2025,401752842,Washington State,15.5,2.4108975249088935,7.426191331748058,0,1,24.0,OVER,Washington State,Washington
2025,401752723,Texas,45.5,-7.031843893799945,-7.782111667771311,1,0,55.0,UNDER,Texas,Sam Houston
2025,401760373,UTSA,31.75,-3.272185273160229,-3.0423771154665076,1,0,17.0,UNDER,Colorado State,UTSA
2025,401754540,San Diego State,16.5,4.908230811362433,6.624233228123899,0,1,34.0,OVER,San Diego State,California
2025,401760374,Fresno State,25.0,7.040415679945468,8.992296526040775,0,1,23.0,OVER,Hawai'i,Fresno State
2025,401754543,Virginia,26.75,-5.201264452144734,-5.279553732333341,1,0,46.0,UNDER,Virginia,Florida State
2025,401754543,Florida State,33.75,-4.33460960138126,-5.021504453552698,1,0,38.0,UNDER,Virginia,Florida State
2025,401752850,Illinois,28.0,-3.163188873350162,-4.444582083497579,1,0,34.0,UNDER,Illinois,USC
2025,401752717,Arkansas,29.0,-3.544590882804986,-3.0480119369956213,1,0,13.0,UNDER,Arkansas,Notre Dame
2025,401756905,Cincinnati,25.25,-3.27847845761562,-2.3854994133662224,1,0,37.0,UNDER,Kansas,Cincinnati
2025,401761616,UL Monroe,28.5,-3.257008065161539,-3.4705668310137767,1,0,28.0,UNDER,UL Monroe,Arkansas State
2025,401756908,West Virginia,16.5,8.155914798409565,7.998528210821998,0,1,14.0,OVER,West Virginia,Utah
2025,401752719,LSU,27.75,-3.3326340855255587,-0.31388210821078744,1,0,19.0,UNDER,Ole Miss,LSU
2025,401752719,LSU,27.75,-3.3326340855255587,-0.31388210821078744,1,0,19.0,UNDER,Ole Miss,LSU
2025,401757274,New Mexico,35.0,-6.1945555535428625,-6.3854561513853625,1,0,38.0,UNDER,New Mexico,New Mexico State
2025,401757273,Missouri State,28.0,-3.533046537480569,-1.1297555154806673,1,0,22.0,UNDER,Missouri State,Western Kentucky
2025,401752854,Penn State,28.5,-3.5285322511037833,-3.4138105629494326,1,0,24.0,UNDER,Penn State,Oregon
2025,401752721,Missouri,50.75,-7.373558528166441,-6.1085679337511465,1,0,42.0,UNDER,Missouri,Massachusetts
2025,401752721,Massachusetts,6.25,6.726250232241741,7.18595127348752,0,1,6.0,OVER,Missouri,Massachusetts
2025,401761615,Louisiana,23.25,-3.7890568603671824,-2.140763806501912,1,0,54.0,UNDER,Louisiana,Marshall
2025,401757275,Sam Houston,27.25,-3.4426589635099774,-2.876013471526832,1,0,10.0,UNDER,New Mexico State,Sam Houston
2025,401760384,New Mexico,28.25,-5.353480608903233,-4.910235078477935,1,0,28.0,UNDER,San José State,New Mexico
2025,401756912,Cincinnati,28.5,-3.36985581297845,-2.9816220222788523,1,0,38.0,UNDER,Cincinnati,Iowa State
2025,401754552,Clemson,31.5,-3.1033325499626265,-1.8652798374661188,1,0,38.0,UNDER,North Carolina,Clemson
2025,401760381,Air Force,18.75,2.851642699979159,6.053008907980427,0,1,31.0,OVER,Navy,Air Force
2025,401754555,SMU,37.0,-4.709748812596523,-4.554853805785164,1,0,31.0,UNDER,SMU,Syracuse
2025,401757165,Notre Dame,42.5,-4.046584432722355,-5.037149866454719,1,0,28.0,UNDER,Notre Dame,Boise State
2025,401752855,UCLA,11.75,3.38317880147523,6.7512767812217795,0,1,42.0,OVER,UCLA,Penn State
2025,401754554,Louisville,33.25,-4.114926024360365,-4.880042234269499,1,0,27.0,UNDER,Louisville,Virginia
2025,401754554,Virginia,26.75,-3.1603529304431497,-1.6474043791960504,1,0,30.0,UNDER,Louisville,Virginia
2025,401752729,Kent State,3.5,4.465426597549205,8.098549380106363,0,1,0.0,OVER,Oklahoma,Kent State
2025,401752860,Michigan State,18.0,4.762315472250819,7.288491934905579,0,1,27.0,OVER,Nebraska,Michigan State
2025,401754553,Florida State,25.5,-5.490960238026091,-1.8735457205596262,1,0,22.0,UNDER,Florida State,Miami
2025,401752862,Rutgers,26.5,-3.200332199027091,-2.484951182477822,1,0,19.0,UNDER,Washington,Rutgers
2025,401754559,Florida State,33.75,-3.0572255206619445,-2.4317196887026853,1,0,31.0,UNDER,Florida State,Pittsburgh
2025,401756917,UCF,22.5,2.6664515668984414,6.468519410806078,0,1,11.0,OVER,Cincinnati,UCF
2025,401761625,James Madison,31.75,-4.131195362543316,0.35648152977961445,1,0,24.0,UNDER,James Madison,Louisiana
2025,401761625,Louisiana,13.25,5.460104337669652,7.2048196367331805,0,1,14.0,OVER,James Madison,Louisiana
2025,401760386,Air Force,29.25,-3.630811135413463,-2.882221654254156,1,0,48.0,UNDER,UNLV,Air Force
2025,401761626,Old Dominion,36.0,-5.2064427480645215,-6.325117762237522,1,0,24.0,UNDER,Marshall,Old Dominion
2025,401761624,Georgia State,26.25,-4.049991766882911,-4.314923778671261,1,0,20.0,UNDER,Georgia State,App State
2025,401762482,Florida Atlantic,35.25,-3.3566883403766283,-0.802624232382712,1,0,53.0,UNDER,Florida Atlantic,UAB
2025,401761623,Coastal Carolina,21.75,4.275516293805694,8.046656383887715,0,1,23.0,OVER,Coastal Carolina,UL Monroe
2025,401754558,Boston College,20.25,3.6647403507003773,8.058882642731163,0,1,10.0,OVER,Boston College,Clemson
2025,401760387,Boise State,36.5,-3.6088788780852212,-7.300314266009167,1,0,41.0,UNDER,Boise State,New Mexico
2025,401757283,Delaware,29.25,-3.775610182186753,-4.919604732200057,1,0,25.0,UNDER,Jacksonville State,Delaware
2025,401752872,Minnesota,20.25,2.4011556611653546,6.099769791097767,0,1,24.0,OVER,Minnesota,Nebraska
2025,401754566,Duke,32.0,-3.015448909522412,-2.625733165814083,1,0,18.0,UNDER,Duke,Georgia Tech
2025,401762839,Central Michigan,20.25,-4.524126644917132,-2.8558385822588654,1,0,27.0,UNDER,Bowling Green,Central Michigan
2025,401761632,Texas State,34.25,-6.128776080129182,-9.035881638009588,1,0,37.0,UNDER,Marshall,Texas State
2025,401762489,Charlotte,19.0,4.564247132956645,6.682409217916547,0,1,14.0,OVER,Charlotte,Temple
2025,401762491,North Texas,34.0,-3.121224866106843,-4.047126817658324,1,0,55.0,UNDER,North Texas,UTSA
2025,401760393,Boise State,37.0,-3.5512035836733844,-5.84943836682756,1,0,56.0,UNDER,Boise State,UNLV
2025,401760393,Boise State,37.0,-3.5512035836733844,-5.84943836682756,1,0,56.0,UNDER,Boise State,UNLV
2025,401760393,Boise State,37.0,-3.5512035836733844,-5.84943836682756,1,0,56.0,UNDER,Boise State,UNLV
2025,401760393,Boise State,37.0,-3.5512035836733844,-5.84943836682756,1,0,56.0,UNDER,Boise State,UNLV
2025,401752951,Virginia,36.5,-3.0008703896360345,-4.021375508390747,1,0,22.0,UNDER,Virginia,Washington State
2025,401752871,Notre Dame,35.5,-3.290333258535206,-3.8953038243975477,1,0,34.0,UNDER,Notre Dame,USC
2025,401762490,South Florida,46.5,-3.4155807953268678,-6.0009069593492015,1,0,48.0,UNDER,South Florida,Florida Atlantic
2025,401756926,Cincinnati,40.5,-3.575850089811638,-3.710657519374898,1,0,49.0,UNDER,Oklahoma State,Cincinnati
2025,401752884,Rutgers,29.0,-3.469487648860113,-0.8589226376483943,1,0,27.0,UNDER,Purdue,Rutgers
2025,401761635,Old Dominion,38.0,-5.642811842624461,-5.951826722676003,1,0,24.0,UNDER,Old Dominion,App State
2025,401761635,App State,24.5,-3.1604967342033063,-1.0136359223505593,1,0,21.0,UNDER,Old Dominion,App State
2025,401756930,Baylor,32.5,-3.5423037776029176,-4.088674996643615,1,0,20.0,UNDER,Cincinnati,Baylor
2025,401756933,Oklahoma State,9.5,-3.0076279386520275,-0.09205378589113877,1,0,0.0,UNDER,Texas Tech,Oklahoma State
2025,401754572,Miami,37.0,-3.4064090299899448,-2.426535747400635,1,0,42.0,UNDER,Miami,Stanford
2025,401752748,Texas A&M,26.0,-4.239604493986182,-2.140153277322593,1,0,49.0,UNDER,LSU,Texas A&M
2025,401762443,Tulane,30.25,-3.076711070025823,-4.215955521669166,1,0,26.0,UNDER,UTSA,Tulane
2025,401761640,Coastal Carolina,24.25,-4.960219638678424,-5.593170673830166,1,0,44.0,UNDER,Coastal Carolina,Marshall
2025,401754581,Miami,29.5,-3.2093364880540065,-5.19006352308331,1,0,20.0,UNDER,SMU,Miami
2025,401754577,Clemson,29.5,-3.8151527825748808,-0.8375490733621191,1,0,45.0,UNDER,Clemson,Duke
2025,401752887,Indiana,35.75,-4.960701562337636,-3.6845702587085185,1,0,55.0,UNDER,Maryland,Indiana
2025,401752753,Arkansas,36.0,-4.171036639363763,-5.220585899742591,1,0,35.0,UNDER,Arkansas,Mississippi State
2025,401762850,Central Michigan,19.0,-3.945941716713346,-0.5173027695002403,1,0,21.0,UNDER,Western Michigan,Central Michigan
2025,401752757,Oklahoma,26.25,-3.1510554474557217,-1.4237545008578216,1,0,33.0,UNDER,Tennessee,Oklahoma
2025,401762852,Ohio,26.5,-4.521574506667193,-1.7498192417262928,1,0,24.0,UNDER,Ohio,Miami (OH)
2025,401761644,Georgia Southern,28.5,-3.0729488694602196,-2.7485826855886266,1,0,25.0,UNDER,App State,Georgia Southern
2025,401761644,Georgia Southern,28.5,-3.0729488694602196,-2.7485826855886266,1,0,25.0,UNDER,App State,Georgia Southern
2025,401762500,South Florida,40.25,-5.97998038842848,-11.083596680286782,1,0,55.0,UNDER,South Florida,UTSA
2025,401761646,James Madison,33.5,-4.382376005225343,-7.712763423239931,1,0,35.0,UNDER,Marshall,James Madison
2025,401752893,Penn State,18.25,3.768482822219962,7.068020554726353,0,1,24.0,OVER,Penn State,Indiana
2025,401752893,Indiana,32.25,-3.107815430529662,-6.559221328641733,1,0,27.0,UNDER,Penn State,Indiana
2025,401757299,Missouri State,22.0,-3.365208006932413,-1.7010694091784693,1,0,21.0,UNDER,Liberty,Missouri State
2025,401752894,Rutgers,29.0,-3.215602613957376,-3.7359921569885266,1,0,35.0,UNDER,Rutgers,Maryland
2025,401756944,TCU,33.0,-3.2403042983283967,-2.8729535229788397,1,0,17.0,UNDER,TCU,Iowa State
2025,401757298,Kennesaw State,32.0,-3.577188495169761,-4.512290805118248,1,0,24.0,UNDER,New Mexico State,Kennesaw State
2025,401761648,Texas State,33.5,-4.041717240009028,-4.590848928428489,1,0,39.0,UNDER,Louisiana,Texas State
2025,401760406,San José State,36.75,-3.9501326864958486,-5.650981679035407,1,0,16.0,UNDER,San José State,Air Force
2025,401754586,Florida State,27.5,-4.301791702201584,-1.3374222771124344,1,0,10.0,UNDER,Clemson,Florida State
2025,401757166,Notre Dame,42.5,-5.07106944458998,-4.521750559178159,1,0,49.0,UNDER,Notre Dame,Navy
2025,401752895,Nebraska,21.75,6.22446671168127,8.799160005539246,0,1,28.0,OVER,UCLA,Nebraska
2025,401762859,Massachusetts,17.0,0.9315987259115204,6.794228880890614,0,1,3.0,OVER,Massachusetts,Northern Illinois
2025,401752901,Indiana,35.75,-3.0518440710254495,-4.287739378291931,1,0,31.0,UNDER,Indiana,Wisconsin
2025,401752901,Wisconsin,7.75,2.252692912747122,6.403759834224802,0,1,7.0,OVER,Indiana,Wisconsin
2025,401752772,Texas A&M,33.0,-3.2868672194524216,-3.746536125164557,1,0,31.0,UNDER,Texas A&M,South Carolina
2025,401752768,Arkansas,27.25,-5.810655040228841,-4.006323585946696,1,0,22.0,UNDER,LSU,Arkansas
2025,401752906,Illinois,34.0,-3.3815687299726847,-3.298402023726176,1,0,24.0,UNDER,Illinois,Maryland
2025,401754593,Duke,32.75,-3.200280251369577,-3.0180577891834375,1,0,17.0,UNDER,Duke,Virginia
2025,401754592,Georgia Tech,39.0,-3.0552900130546377,-5.569456337794328,1,0,36.0,UNDER,Boston College,Georgia Tech
2025,401761654,Texas State,31.25,-3.922242062863411,-2.474043887397322,1,0,41.0,UNDER,Southern Miss,Texas State
2025,401752771,Tennessee,50.75,-3.7454198229230187,-5.480498894661146,1,0,42.0,UNDER,Tennessee,New Mexico State
2025,401761650,Georgia Southern,31.25,-3.197078838248732,-3.076229175748491,1,0,45.0,UNDER,Georgia Southern,Coastal Carolina
2025,401760414,Utah State,32.0,-3.8696990291149653,-7.284191534119223,1,0,26.0,UNDER,UNLV,Utah State
2025,401752900,UCLA,6.75,4.972189029214469,8.187031134438937,0,1,10.0,OVER,Ohio State,UCLA
2025,401757302,Kennesaw State,29.75,-5.153916778760557,-7.01860139786724,1,0,26.0,UNDER,Jacksonville State,Kennesaw State
2025,401757302,Kennesaw State,29.75,-5.153916778760557,-7.01860139786724,1,0,26.0,UNDER,Jacksonville State,Kennesaw State
2025,401757302,Kennesaw State,29.75,-5.153916778760557,-7.01860139786724,1,0,26.0,UNDER,Jacksonville State,Kennesaw State
2025,401757302,Kennesaw State,29.75,-5.153916778760557,-7.01860139786724,1,0,26.0,UNDER,Jacksonville State,Kennesaw State
2025,401752953,Louisiana Tech,16.75,4.103756586149068,6.941742736547759,0,1,3.0,OVER,Washington State,Louisiana Tech
2025,401761655,Arkansas State,28.5,-4.271923143891499,-2.682544304962594,1,0,30.0,UNDER,Arkansas State,Louisiana
2025,401760418,Hawai'i,31.0,-3.2887175493779495,-6.0161982847563,1,0,10.0,UNDER,UNLV,Hawai'i
2025,401752912,Rutgers,13.0,-3.8570475283167056,1.2318015601516326,1,0,9.0,UNDER,Ohio State,Rutgers
2025,401754606,Delaware,16.0,1.9732709312400374,6.285018929558863,0,1,14.0,OVER,Wake Forest,Delaware
2025,401761656,App State,26.25,-4.855594820241446,-5.135077914532033,1,0,26.0,UNDER,App State,Marshall
2025,401757305,Florida International,29.25,-5.284283553747883,-5.945194848461821,1,0,27.0,UNDER,Florida International,Jacksonville State
