pick_id,season,week,game,rule,market,side,bet_home,open_num,close_num,edge,confluence,reg_edge,away_ab,home_ab,actual_margin,actual_total,win,clv_pts,roi_u
2023-W08-PHI@WAS-LLO,2023,8,PHI@WAS,total_low_line_over,total,OVER 45.5,-1,45.5,42.5,-8.75,,,PHI,WAS,-7,69,1.0,-3.0,0.9090909090909091
2023-W09-MIN@ATL-S,2023,9,MIN@ATL,sides_model,spread,ATL -1,1,-1.0,-3.5,0.313,1.0,3.41,MIN,ATL,-3,59,0.0,2.5,-1.0
2023-W09-MIN@ATL-FPR,2023,9,MIN@ATL,fade_pr_in_tight_game,spread,ATL -1,1,-1.0,-3.5,5.4,,,MIN,ATL,-3,59,0.0,2.5,-1.0
2023-W09-SEA@BAL-S,2023,9,SEA@BAL,sides_model,spread,SEA +4.5,0,-4.5,-6.0,-0.052,0.0,3.07,SEA,BAL,34,40,0.0,-1.5,-1.0
2023-W09-IND@CAR-S,2023,9,IND@CAR,sides_model,spread,IND -2.5,0,2.5,1.5,-0.142,0.0,1.98,IND,CAR,-14,40,1.0,-1.0,0.9090909090909091
2023-W09-IND@CAR-BBU,2023,9,IND@CAR,bot_vs_bot_under,total,UNDER 43.5,-2,43.5,45.0,43.5,,,IND,CAR,-14,40,1.0,-1.5,0.9090909090909091
2023-W09-BUF@CIN-S,2023,9,BUF@CIN,sides_model,spread,BUF -1,0,1.0,-1.5,-0.123,0.0,1.7,BUF,CIN,6,42,0.0,-2.5,-1.0
2023-W09-BUF@CIN-FPR,2023,9,BUF@CIN,fade_pr_in_tight_game,spread,CIN +1,1,1.0,-1.5,5.7,,,BUF,CIN,6,42,1.0,2.5,0.9090909090909091
2023-W09-BUF@CIN-PTF,2023,9,BUF@CIN,primetime_tight_favorite,spread,BUF -1,0,1.0,-1.5,1.0,,,BUF,CIN,6,42,0.0,-2.5,-1.0
2023-W09-BUF@CIN-PTU,2023,9,BUF@CIN,primetime_tight_under,total,UNDER 46.5,-2,46.5,50.5,46.5,,,BUF,CIN,6,42,1.0,-4.0,0.9090909090909091
2023-W09-ARI@CLE-HLU,2023,9,ARI@CLE,total_high_line_under,total,UNDER 39.5,-2,39.5,38.0,4.33,,,ARI,CLE,27,27,1.0,1.5,0.9090909090909091
2023-W09-LAR@GB-TSML,2023,9,LAR@GB,tight_soft_ml_fade_home,spread,LAR -1,0,1.0,-3.5,6.4,,,LAR,GB,17,23,0.0,-4.5,-1.0
2023-W09-TB@HOU-S,2023,9,TB@HOU,sides_model,spread,TB +2.5,0,-2.5,-2.5,-0.179,0.0,-0.69,TB,HOU,2,76,1.0,0.0,0.9090909090909091
2023-W09-MIA@KC-S,2023,9,MIA@KC,sides_model,spread,KC -2.5,1,-2.5,-4.5,0.105,0.0,-1.07,MIA,KC,7,35,1.0,2.0,0.9090909090909091
2023-W09-NYG@LV-BBU,2023,9,NYG@LV,bot_vs_bot_under,total,UNDER 39.75,-2,39.75,38.5,39.8,,,NYG,LV,24,36,1.0,1.25,0.9090909090909091
2023-W09-WAS@NE-S,2023,9,WAS@NE,sides_model,spread,WAS +2,0,-2.0,-3.0,-0.049,0.0,-0.31,WAS,NE,-3,37,1.0,-1.0,0.9090909090909091
2023-W09-WAS@NE-BBU,2023,9,WAS@NE,bot_vs_bot_under,total,UNDER 39,-2,39.0,40.5,39.0,,,WAS,NE,-3,37,1.0,-1.5,0.9090909090909091
2023-W09-CHI@NO-S,2023,9,CHI@NO,sides_model,spread,CHI +5.5,0,-5.5,-9.0,-0.138,0.0,2.5,CHI,NO,7,41,0.0,-3.5,-1.0
2023-W09-LAC@NYJ-S,2023,9,LAC@NYJ,sides_model,spread,NYJ +1.5,1,1.5,3.0,0.148,0.0,0.53,LAC,NYJ,-21,33,0.0,-1.5,-1.0
2023-W09-LAC@NYJ-PTF,2023,9,LAC@NYJ,primetime_tight_favorite,spread,LAC -1.5,0,1.5,3.0,1.5,,,LAC,NYJ,-21,33,1.0,1.5,0.9090909090909091
2023-W09-LAC@NYJ-PTU,2023,9,LAC@NYJ,primetime_tight_under,total,UNDER 43,-2,43.0,41.0,43.0,,,LAC,NYJ,-21,33,1.0,2.0,0.9090909090909091
2023-W09-DAL@PHI-S,2023,9,DAL@PHI,sides_model,spread,DAL +3,0,-3.0,-3.0,-0.059,1.0,-8.65,DAL,PHI,5,51,0.0,0.0,-1.0
2023-W09-TEN@PIT-S,2023,9,TEN@PIT,sides_model,spread,TEN +3.5,0,-3.5,-3.0,-0.052,1.0,-5.67,TEN,PIT,4,36,0.0,0.5,-1.0
2023-W10-ATL@ARI-S,2023,10,ATL@ARI,sides_model,spread,ARI +2,1,2.0,2.0,0.276,1.0,3.22,ATL,ARI,2,48,1.0,0.0,0.9090909090909091
2023-W10-ATL@ARI-BBU,2023,10,ATL@ARI,bot_vs_bot_under,total,UNDER 41,-2,41.0,43.5,41.0,,,ATL,ARI,2,48,0.0,-2.5,-1.0
